,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
184,Raúl García,Athletic Club,37," M(CLR),FW",24(11),1816,6,2,4,-,1.3,62,1.6,-,6.56
185,Mikel Balenziaga,Athletic Club,36, D(L),23(3),2027,-,-,2,-,0.3,77.6,1.3,-,6.55
186,Manu Sánchez,Osasuna,23," D(L),M(L)",25(8),2260,1,3,5,-,0.2,74.7,0.3,1,6.55
187,Borja Iglesias,Real Betis,31, FW,18(15),1574,10,-,4,-,1.2,71.1,0.7,3,6.55
188,Rafa Mir,Sevilla,26, FW,18(16),1804,10,-,6,-,1.8,67.6,1.7,1,6.54
189,Luis Suárez,Atletico,37," AM(CLR),FW",20(15),1837,11,2,7,-,1.5,73.7,0.6,2,6.54
190,Luuk de Jong,Barcelona,33," AM(C),FW",6(15),643,6,-,1,-,1.1,72,1.6,-,6.54
191,Takefusa Kubo,Mallorca,22," AM(CLR),FW",17(11),1610,1,-,4,-,1.7,74.9,0.4,-,6.54
192,Enis Bardhi,Levante,28," M(CLR),FW",17(13),1699,3,3,3,-,1.4,76.9,0.2,1,6.54
193,Álex Fernández,Cadiz,31," M(CL),FW",22(10),2051,3,2,2,-,0.7,81.8,0.6,1,6.54
194,Javi Puado,Espanyol,25," AM(CLR),FW",26(4),2258,4,1,5,-,1.3,83.7,0.4,1,6.54
195,Fali,Cadiz,30," D(C),DMC",23(5),1813,-,2,6,-,0.5,76.7,1.1,-,6.54
196,Mario Hermoso,Atletico,28, D(CL),22(5),1872,2,1,6,1,0.6,87,1.8,1,6.54
197,Sèrge Aurier,Villarreal,31," D(CLR),M(R)",10(9),1003,-,1,4,-,0.6,85.9,1.1,-,6.53
198,Esteban Saveljich,Rayo Vallecano,32, D(C),21,1708,-,-,4,-,0.4,82.5,2.7,-,6.53
199,Sime Vrsaljko,Atletico,32," D(LR),M(R)",10(11),910,1,2,4,-,0.2,77.2,1.6,1,6.53
200,Roger Martí,Levante,33, FW,25(4),2124,7,3,8,-,1.7,69.6,1.1,1,6.53
201,Matheus Cunha,Atletico,24," AM(CL),FW",8(21),1053,6,4,3,-,1.3,71,0.7,-,6.53
202,Nico González,Barcelona,22, DMC,12(15),1111,2,1,6,-,0.6,90,0.2,-,6.53
203,Felipe,Atletico,34, D(C),15(11),1499,2,1,5,1,0.4,81.8,1.7,-,6.52
204,Salva Sevilla,Mallorca,40, M(CL),17(11),1510,5,3,2,-,0.9,84.2,0.1,-,6.52
205,Sergi Gómez,Espanyol,32, D(CR),31,2724,1,2,1,1,0.3,84.8,1.3,-,6.52
