,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
242,Salis Abdul Samed,1,-,0.6,0.8,1.2,-,1,1
243,Gabriel Gudmundsson,1,-,0.6,0.7,0.7,0.2,0.7,0.7
244,Azzedine Ounahi,2,1,0.8,0.8,0.8,-,1,1
245,Georginio Wijnaldum,1,3,0.7,0.4,0.5,-,0.7,0.7
246,Burak Yilmaz,4,3,2.3,0.2,0.7,1.3,0.8,0.8
247,Boubacar Traoré,1,1,0.8,1,0.6,-,0.9,0.9
248,Dion Lopy,-,-,0.6,0.7,0.7,-,1,1
249,Mama Baldé,3,2,1.6,1.1,0.9,0.1,1.3,1.3
250,Sékou Mara,6,-,1.5,0.4,0.9,0.1,0.6,0.6
251,Nathanaël Mbuku,2,1,1.1,0.8,1.3,0.1,0.8,0.8
252,Zaydou Youssouf,1,-,0.7,1.1,0.8,-,1,1
253,Junior Sambia,1,-,0.7,0.9,0.9,-,0.6,0.6
254,Gideon Mensah,-,2,0.1,1,0.2,0.1,0.7,0.7
255,Houboulang Mendes,-,1,0.6,0.4,0.5,0.1,0.2,0.2
256,Paul Bernardoni,-,-,-,-,0.2,-,-,-
257,Jodel Dossou,3,1,1.5,1.1,1.1,0.4,1.2,1.2
258,Ouparine Djoco,-,-,-,-,0.2,-,-,-
259,Massadio Haïdara,1,1,0.3,0.2,0.6,-,0.4,0.4
260,Bradley Locko,1,1,0.3,0.6,0.5,0.1,0.9,0.9
261,Morgan Schneiderlin,-,1,0.1,0.2,0.2,-,0.3,0.3
262,Youssouf Koné,-,1,0.4,0.7,1,0.1,0.5,0.5
263,Jérémy Le Douaron,5,3,1.1,0.3,0.8,0.1,1,1
264,Jean-Eudes Aholou,1,1,0.7,0.4,0.8,-,0.4,0.4
265,Sébastien Corchia,-,3,0.4,0.3,0.9,-,0.3,0.3
266,Pierrick Capelle,-,1,0.6,0.5,0.2,-,0.6,0.6
267,Jim Allevinah,1,2,1.4,1.1,1.1,0.1,1.3,1.3
268,Calvin Stengs,1,1,0.9,0.8,0.3,0.1,1.3,1.3
269,Ibrahima Niané,3,1,1.7,0.3,0.9,0.4,0.6,0.6
270,Vincent Manceau,-,-,0.1,0.1,0.5,-,0.2,0.2
271,Harold Moukoudi,-,-,0.3,0.4,0.2,-,0.2,0.2
272,Marcus Coco,1,1,0.5,0.6,1.3,0.2,1,1
273,Jimmy Giraudon,-,-,-,0.1,0.3,-,0.1,0.1
274,Opa Nguette,2,2,0.9,1,0.9,0.2,1.5,1.5
275,Samuel Moutoussamy,-,1,0.5,0.3,0.4,-,0.3,0.3
276,Ricardo Mangas,3,1,0.6,0.7,1,-,0.4,0.4
277,Mauro Icardi,4,-,1.2,0.1,0.3,0.4,0.4,0.4
278,Yoann Touzghar,4,-,1,0.2,0.7,0.3,0.4,0.4
279,Yvann Maçon,-,-,0.7,0.9,0.5,-,0.6,0.6
280,Ignatius Ganago,5,1,1.1,0.4,0.4,0.4,0.8,0.8
281,Timothée Pembélé,1,1,0.7,1.6,0.7,-,0.8,0.8
282,Stéphane Bahoken,3,1,0.8,0.2,0.5,0.1,0.6,0.6
283,Mohamed-Ali Cho,4,1,1.3,0.8,1.4,0.3,1,1
284,Evann Guessand,1,2,0.6,0.6,0.5,-,0.3,0.3
285,Saîf-Eddine Khaoui,1,-,0.8,0.5,0.7,-,0.6,0.6
286,Irvin Cardona,4,2,0.8,0.4,0.4,0.3,0.6,0.6
287,Dylan Chambost,-,1,0.5,0.1,0.3,0.1,0.2,0.2
288,Dango Ouattara,1,2,1,0.4,0.8,-,0.4,0.4
289,M'Baye Niang,3,1,1.2,0.2,0.9,0.4,0.7,0.7
290,Mitchell van Bergen,-,-,0.6,0.7,0.2,0.5,0.4,0.4
291,Angel Gomes,1,1,0.6,0.2,0.6,-,0.5,0.5
292,Deiver Machado,-,1,0.1,0.4,0.5,0.1,0.4,0.4
293,Enzo Ebosse,-,-,0.1,0.3,0.8,-,0.1,0.1
294,Quentin Boisgard,1,1,0.6,0.4,0.4,-,0.8,0.8
295,Paul Nardi,-,-,-,-,0.1,-,-,-
296,Lucas Gourna-Douath,1,-,0.4,0.5,0.9,-,0.7,0.7
297,Igor Silva,-,-,0.5,0.5,0.8,-,0.4,0.4
298,Kévin N'Doram,-,-,0.4,0.3,0.7,-,0.4,0.4
299,Romain Hamouma,2,1,1,0.5,0.5,0.4,0.6,0.6
300,Adil Aouchiche,-,4,0.6,0.4,0.4,0.1,0.5,0.5
301,Sambou Soumano,3,-,0.9,0.5,0.5,0.3,0.6,0.6
302,Myron Boadu,4,1,0.7,0.3,0.4,0.4,0.4,0.4
303,Léo Leroy,-,-,0.3,0.3,0.2,-,0.3,0.3
304,Benoît Costil,-,-,-,-,0.1,-,-,-
305,Nicholas Gioacchini,-,2,0.4,0.2,0.6,0.1,0.4,0.4
306,Willem Geubbels,2,1,0.5,0.1,0.2,0.2,0.3,0.3
307,Luis Henrique,-,1,0.3,0.4,0.2,0.3,0.5,0.5
308,Fransérgio,-,1,0.5,0.2,0.5,-,0.4,0.4
309,Béni Makouana,-,-,0.3,0.1,-,0.1,0.3,0.3
