,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
192,Davide Ghersini,7,23.0,0.69,0.43,4.14,29,0.29,2
193,Federico La Penna,7,25.14,0.75,0.14,3.86,27,0.0,0
194,Alessandro Prontera,7,26.29,0.89,0.29,4.43,31,0.14,1
195,Alberto Santoro,7,24.0,0.82,0.29,4.86,34,0.14,1
196,Gianluca Manganiello,6,21.17,0.59,0.33,3.5,21,0.0,0
197,Marco Guida,5,23.2,0.74,0.2,4.0,20,0.0,0
198,Ivano Pezzuto,5,23.8,0.85,0.2,4.0,20,0.0,0
199,Francesco Cosso,5,22.2,0.66,0.2,3.4,17,0.4,2
200,Ermanno Feliciani,5,22.4,0.72,0.2,3.8,19,0.0,0
201,Niccolò Baroni,4,26.25,0.82,0.0,4.25,17,0.25,1
202,Manuel Volpi,4,26.75,0.79,0.0,4.0,16,0.0,0
203,Giacomo Camplone,4,23.75,0.97,0.25,3.5,14,0.5,2
204,Luca Zufferli,3,26.0,0.7,0.0,3.0,9,0.0,0
205,Maria Ferrieri Caputi,3,23.67,0.86,0.33,2.33,7,0.0,0
206,Marco Serra,2,28.0,0.63,0.0,3.5,7,0.5,1
207,Daniele Perenzoni,2,28.5,0.83,0.5,4.0,8,0.0,0
208,Daniele Minelli,1,26.0,1.08,0.0,6.0,6,0.0,0
209,Daniele Paterna,1,30.0,1.11,0.0,6.0,6,2.0,2
210,Francesco Meraviglia,1,24.0,1.0,0.0,3.0,3,0.0,0
