,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
229,Jean Zimmer,1,2,0.5,0.4,1.3,-,0.7,0.7
230,Claudio Pizarro,5,2,1,0.3,0.3,0.2,0.5,0.5
231,Takashi Usami,1,2,1.4,0.7,0.6,0.1,0.4,0.4
232,Mark Uth,2,1,2,0.9,1.2,0.6,0.8,0.8
233,Dominik Kohr,-,2,0.8,0.2,0.7,-,0.6,0.6
234,Andreas Beck,-,2,0.5,0.4,1.3,-,0.5,0.5
235,Florian Müller,-,-,-,-,-,-,-,-
236,Mijat Gacinovic,-,1,0.7,0.9,1.4,0.1,0.7,0.7
237,Anastasios Donis,5,2,1.3,0.8,0.5,0.6,0.5,0.5
238,Stefan Ilsanker,-,-,0.2,0.1,0.5,-,0.1,0.1
239,Marcin Kaminski,-,1,0.3,-,0.3,-,-,-
240,Mikael Ishak,4,3,1.3,0.6,1.1,0.5,0.7,0.7
241,Anthony Ujah,4,-,1.2,0.1,0.2,0.5,0.5,0.5
242,Patrick Erras,-,1,0.4,-,0.2,-,0.2,0.2
243,Sebastian Rudy,-,-,0.2,0.3,0.8,-,0.5,0.5
244,Johannes Eggestein,4,1,1.5,0.7,0.6,-,1.6,1.6
245,Alexander Esswein,-,-,1.7,0.5,1,0.6,1,1
246,Matthias Ostrzolek,-,-,0.3,0.2,1.4,-,0.5,0.5
247,Maximilian Philipp,1,1,0.7,0.3,0.9,0.3,0.7,0.7
248,Guido Burgstaller,4,-,1.8,0.3,1,1.2,1.3,1.3
249,Robert Bauer,-,-,0.4,0.2,0.8,-,0.3,0.3
250,Marvin Bakalorz,1,-,0.5,0.4,1,0.2,0.7,0.7
251,Kevin Wimmer,-,-,0.1,-,0.2,-,-,-
252,Florian Niederlechner,4,1,1.3,0.4,0.8,0.4,0.6,0.6
253,Sebastian Kerk,-,1,0.9,0.2,0.5,-,0.7,0.7
254,Miiko Albornoz,1,3,0.5,0.3,1.7,-,0.8,0.8
255,Renato Sanches,1,1,1,1,0.7,0.1,0.5,0.5
256,Alexandru Maxim,1,-,0.7,0.5,0.3,0.1,0.7,0.7
257,Matheus Cunha,2,-,1.4,0.6,0.6,0.2,0.9,0.9
258,Virgil Misidjan,1,1,1,1.8,2.3,0.4,2,2
259,Manuel Neuer,-,-,-,-,0.1,-,-,-
260,Yunus Malli,1,1,0.4,0.4,0.3,0.1,0.6,0.6
261,Bobby Wood,3,1,0.9,0.3,0.7,0.2,2.9,2.9
262,Fabian Johnson,1,-,0.2,0.1,0.8,0.2,0.4,0.4
263,Jean-Kévin Augustin,3,-,0.8,0.5,0.9,0.3,0.9,0.9
264,Jetro Willems,-,1,0.2,0.3,0.3,-,0.7,0.7
265,Federico Palacios,2,-,0.4,0.6,0.5,0.2,1.3,1.3
266,Yuya Kubo,1,-,1.3,0.5,1,0.2,1.3,1.3
267,Sergio Córdova,3,-,0.7,0.5,1,0.2,1,1
268,Lucas Höler,4,-,1,0.3,1,0.2,1,1
269,Erik Thommy,1,1,1.3,0.4,0.9,0.3,0.9,0.9
