,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
130,Pierre-Emerick Aubameyang,0.4,0.2,0.4,-,0.5,0.6,-,1
131,Ben Godfrey,1.8,1.1,0.5,0.3,3.5,0.5,1.2,1
132,Ché Adams,0.7,0.1,0.8,0.1,0.5,0.3,0.1,-
133,Adam Webster,1,1.6,0.8,0.3,2.9,0.4,0.6,-
134,Kyle Bartley,0.9,1.3,1,0.5,5.3,0.4,1.2,-
135,Emile Smith Rowe,0.7,0.5,0.3,-,0.5,0.6,0.1,-
136,Allan,3.3,0.8,1.5,0.1,1,2.8,0.5,-
137,Josh Brownhill,1.4,2.1,1.1,-,1.1,0.9,0.3,-
138,Ferran Torres,0.5,0.1,0.7,-,0.3,0.5,-,-
139,Nicolas Pépé,0.7,0.4,0.4,-,0.4,0.5,-,-
140,Ross Barkley,0.3,0.2,0.5,-,0.3,0.5,-,-
141,Hugo Lloris,-,-,-,-,0.5,-,-,-
142,Willy-Arnaud Boly,1.6,1.5,0.7,0.2,4,0.5,0.6,-
143,Dan Burn,1.9,1.1,1.3,0.1,2.6,1,0.3,1
144,Ezri Konsa,0.7,0.8,0.5,0.4,4.4,0.1,1.3,-
145,Jarrod Bowen,0.7,0.6,0.4,-,0.1,0.5,-,-
146,Kyle Walker,1.2,0.6,1,0.3,0.9,0.3,0.3,-
147,Thomas Partey,1.8,1,0.8,-,0.6,1.3,0.2,-
148,Joelinton,1.1,0.3,0.8,-,0.7,0.7,0.1,-
149,Christian Pulisic,0.7,0.4,0.5,-,0.3,0.5,0.1,-
150,Marc Albrighton,1.1,0.5,0.3,0.1,0.6,0.9,0.1,-
151,Çaglar Söyüncü,1.2,1.2,0.8,0.6,3.4,0.6,0.4,-
152,Alphonse Areola,-,-,-,-,1.1,0.1,-,-
153,Sam Johnstone,-,0.1,-,-,1,-,-,-
154,Alisson Becker,0.1,0.1,-,-,1.3,-,-,-
155,Granit Xhaka,1.6,0.8,1.3,-,1.2,0.9,0.2,-
156,Tosin Adarabioyo,1.1,1.3,0.5,0.8,5.8,0.6,0.6,1
157,Angelo Ogbonna,0.9,1.1,1,0.5,4.1,0.3,0.4,-
158,Gabriel Magalhães,1.1,1.1,1,0.5,3.2,0.3,0.8,-
159,Callum Hudson-Odoi,1,0.3,0.5,-,0.2,0.6,-,-
160,David McGoldrick,0.9,0.1,1.3,-,0.7,0.5,0.1,-
