,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
110,Manu Trigueros,1.3,0.4,1.4,0.1,0.4,1.2,0.1,-
111,Iñaki Williams,0.4,0.1,0.6,-,0.5,0.3,0.1,-
112,Sergio Herrera,0.1,-,-,-,0.8,0.1,-,-
113,Gerónimo Rulli,-,-,-,-,1,0.1,-,-
114,Jorge Molina,0.1,0.2,0.5,-,0.3,0.5,0.1,-
115,Franco Cervi,2.1,0.6,0.6,-,0.4,1.3,0.1,-
116,Mamadou Loum,1.5,1.2,1.6,-,2.1,0.9,0.3,-
117,Rubén García,1.2,0.6,1,-,0.4,0.9,0.1,-
118,Álex Remiro,-,-,-,-,0.9,-,-,-
119,Jorge de Frutos,1.3,0.5,1.6,-,0.4,1.6,-,-
120,Adri Embarba,1.4,0.6,0.9,-,0.8,1.3,0.1,-
121,Thomas Delaney,1.6,0.5,1,0.1,1.3,0.5,0.4,-
122,Damián Suárez,2.1,0.9,1.3,0.2,0.8,1.4,0.1,-
123,Fernando,1,1.2,0.7,0.2,1.3,0.9,0.5,-
124,Johan Mojica,1.4,0.8,1,0.3,1.5,0.2,0.1,-
125,Helibelton Palacios,2.7,0.7,1.1,0.5,2.2,0.7,0.3,-
126,Adrià Pedrosa,1.9,0.8,0.6,0.4,2.8,1,0.2,1
127,Luis Suárez,0.7,0.2,1.1,-,0.6,0.5,0.1,-
128,Rui Silva,-,-,-,-,0.8,-,-,-
129,Oihan Sancet,0.4,0.2,0.7,-,0.4,0.6,-,-
130,Íñigo Ruíz de Galarreta,1.8,0.9,1.1,-,0.9,0.7,0.1,-
131,Marcos Llorente,1.8,0.9,1,-,1.3,0.5,0.3,-
132,Ángel Correa,0.4,0.3,0.7,-,0.1,0.6,0.1,-
133,Raúl Albiol,0.9,0.8,0.6,1,4.4,0.1,0.5,-
134,Nemanja Maksimovic,1.6,2,0.4,-,0.9,0.9,0.4,-
135,Isi Palazón,1.2,0.4,0.9,-,0.6,1.2,0.1,-
136,Fidel,1.3,0.2,0.8,-,0.5,1.3,-,-
137,Koke,1.8,0.8,0.9,-,1,1.2,0.2,-
138,Andoni Gorosabel,1.5,0.6,0.8,0.1,1.3,0.7,0.1,-
139,Rodrygo,0.5,0.3,0.6,-,0.1,0.5,-,-
140,Óscar Valentín,2.9,1.1,1.4,0.1,1.2,1.7,0.3,-
141,Thierry Correia,1.8,1,1.7,0.2,1.2,0.8,0.3,-
142,Rubén Duarte,2.2,1.7,1.3,0.2,2.1,1.2,0.2,-
143,Nacho,0.6,1.2,0.5,0.1,1.8,0.4,0.5,-
144,Fran García,1.8,1.3,0.7,0.3,1.3,1,0.2,-
145,Francis Coquelin,1.3,1,1.2,0.1,0.5,0.5,0.3,-
146,Jesús Navas,0.7,0.7,0.2,-,0.8,0.4,0.1,-
147,Alberto Moreno,0.5,1.1,0.8,0.1,0.5,0.5,-,-
148,David Soria,-,-,-,-,1.2,-,-,-
149,Yangel Herrera,1.8,0.8,1.9,-,1.4,0.9,0.2,-
150,Matías Dituro,-,-,-,-,0.7,-,-,-
151,Yeremy Pino,1,0.2,0.9,-,0.2,0.5,0.1,-
152,José Gayà,1.5,0.8,1.4,0.5,1.4,0.8,0.1,-
153,Pedro Bigas,1.3,0.9,0.8,0.9,4,0.6,0.8,-
154,Iddrisu Baba,2.2,0.9,1.6,-,1.3,0.7,0.2,-
155,Eric García,1,1.7,1.3,0.5,1.8,0.6,0.5,-
156,Iván Alejo,1.7,0.4,1.9,0.1,0.7,1.5,-,-
157,Joan Jordán,1.7,0.8,1.5,-,0.5,1,0.2,-
158,Boulaye Dia,0.3,0.2,0.9,-,0.1,0.1,-,-
159,Óscar Duarte,0.8,1,1.1,0.5,4.3,0.7,0.4,-
160,Hugo Mallo,2.1,1,1.8,0.2,2.2,0.7,0.4,-
161,Óscar Gil,2.4,0.9,1.6,0.2,1,1,0.4,-
162,Jens Jønsson,1.8,1.5,0.7,-,1.4,0.8,0.3,-
163,Jon Moncayola,1.1,0.6,0.6,-,1,0.8,0.3,-
164,Fran Beltrán,1.5,0.9,0.5,-,0.8,1.1,0.1,-
165,Pepelu,1.6,1.3,1.6,0.1,1,0.9,0.2,-
166,Maxime Gonalons,1.7,0.7,1.2,-,1.1,1,0.4,-
167,Djené Dakonam,1.3,1.7,1.3,0.4,3,0.3,0.1,-
168,Jaume Costa,1.4,0.9,0.8,0.1,2.2,0.3,0.3,-
169,Unai Simón,-,-,-,-,0.4,-,-,1
170,Maxi Gómez,0.2,0.1,1.7,-,0.8,0.1,-,-
171,Antonio Puertas,1,0.3,1.3,-,0.8,0.8,0.1,-
172,Anthony Lozano,0.3,0.1,1.4,-,0.2,0.4,0.1,-
173,Íñigo Lekue,1.3,0.9,0.8,0.2,2,0.9,0.5,-
174,Willian José,0.5,0.1,0.4,-,0.5,0.2,0.1,-
175,Daniel Wass,1.2,0.7,1.5,-,0.8,1.3,0.1,-
176,Joseph Aidoo,1.2,1.2,0.3,0.1,3,0.4,0.4,1
177,Youssef En-Nesyri,0.4,0.2,0.5,-,0.8,0.3,-,-
178,Adnan Januzaj,0.5,0.4,0.8,-,0.4,0.5,0.1,-
179,Iza Carcelén,1.7,1.4,0.9,0.2,1.5,1.1,0.2,-
180,Alexander Sørloth,0.6,0.1,0.9,-,0.5,0.3,-,-
181,Omar Mascarell,1.4,1.5,1.2,0.2,1.5,1.1,0.4,-
182,Luis Rioja,0.8,0.7,0.5,-,0.4,1.2,-,-
183,Iván Balliu,1.3,1.1,1.2,0.3,1.6,0.3,0.1,-
184,Raúl García,0.8,0.3,1.4,-,0.6,0.8,0.1,-
185,Mikel Balenziaga,1.3,0.8,0.8,0.2,2.7,0.7,0.2,-
186,Manu Sánchez,2.2,0.5,1,0.2,1,1.1,0.1,-
187,Borja Iglesias,0.2,0.1,0.8,-,0.2,0.2,-,-
188,Rafa Mir,0.1,-,0.9,-,0.4,0.3,0.1,-
189,Luis Suárez,0.2,-,0.6,-,0.4,0.2,-,-
190,Luuk de Jong,0.4,-,0.4,-,0.6,-,-,-
191,Takefusa Kubo,1.1,0.3,0.6,-,0.1,0.5,0.1,-
192,Enis Bardhi,1,0.3,1.1,-,0.2,0.8,0.1,-
193,Álex Fernández,1.5,0.9,0.5,-,0.8,1.3,0.2,-
194,Javi Puado,0.8,0.4,0.8,-,0.7,0.8,0.1,-
195,Fali,1.1,0.9,0.7,0.2,2.8,0.5,0.6,-
196,Mario Hermoso,1.1,1.1,1,0.2,1.7,0.7,0.1,1
197,Sèrge Aurier,0.7,0.6,0.8,0.4,1.2,0.2,0.4,-
198,Esteban Saveljich,0.9,0.8,1.1,0.3,3.1,0.3,0.6,-
199,Sime Vrsaljko,1.3,0.6,0.6,0.1,1.2,0.4,-,-
200,Roger Martí,0.8,0.1,2.1,-,0.3,0.8,-,-
201,Matheus Cunha,0.7,0.2,0.8,-,0.3,0.5,0.1,-
202,Nico González,1.1,0.2,1.4,-,0.4,0.6,-,-
203,Felipe,0.8,1.1,0.8,0.1,2.9,0.4,0.4,-
204,Salva Sevilla,0.6,0.5,0.5,-,0.4,0.4,0.2,-
205,Sergi Gómez,1.1,1.3,0.4,0.9,3.8,0.3,0.7,-
206,Pervis Estupiñán,1.3,0.9,0.9,0.3,0.8,0.3,0.2,-
207,Pere Milla,0.6,0.2,0.5,-,0.6,1.1,-,-
208,Nemanja Gudelj,0.8,1,0.7,0.2,1.7,0.1,0.4,-
209,Néstor Araújo,0.6,0.8,0.6,0.2,3,0.4,0.3,1
210,Marc-André ter Stegen,-,-,-,-,0.6,-,-,-
211,Sergio Escudero,1.7,1,0.5,0.1,1,1,0.1,-
212,Gonzalo Melero,1,0.2,0.7,-,0.8,0.7,0.3,-
213,Florian Lejeune,1.1,1,1.1,0.8,5.1,0.3,0.6,-
214,Domingos Duarte,0.9,1,1.1,0.2,3.8,0.2,1,-
215,Rubén Sobrino,0.8,0.6,1.4,-,0.5,0.9,-,-
216,Víctor Laguardia,0.9,0.8,0.6,0.6,4.3,0.3,0.7,-
217,Josan,1.2,0.3,0.5,0.1,0.5,0.6,0.1,-
218,Fernando Pacheco,0.1,-,-,-,0.7,-,-,-
219,Jorge Miramón,1.2,1.2,1.1,0.2,1.8,1,0.1,-
