,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
136,Albin Ekdal,1.8,1.5,1.5,-,1,1.3,0.4,-
137,Ivan Perisic,0.7,0.6,0.4,-,1,0.7,0.1,-
138,Pedro,0.9,0.3,0.9,-,-,1,-,-
139,Roberto Pereyra,0.5,0.8,1.1,-,0.6,0.5,0.1,-
140,Ivan Ilic,0.9,0.9,0.8,-,0.8,0.5,0.2,-
141,Rafael Tolói,1.6,1.1,1.2,0.1,2,0.7,0.2,-
142,Lucas Leiva,2.1,1.8,1.5,-,0.7,1.8,-,-
143,Gaetano Letizia,1.5,0.8,0.6,0.5,1.5,0.8,0.1,-
144,Darko Lazovic,0.9,0.6,0.3,-,0.8,0.7,0.2,-
145,Alexis Saelemaekers,1.3,0.8,0.9,-,0.1,1.3,-,-
146,Adam Marusic,1.1,1.1,0.5,0.3,1.3,0.6,0.2,1
147,Giorgos Kyriakopoulos,1.5,0.7,0.7,0.2,1.4,0.9,0.2,-
148,Leonardo Bonucci,0.7,1.2,0.8,0.3,2.4,0.3,0.5,-
149,Simone Verdi,0.6,0.2,0.7,-,0.1,0.4,-,-
150,Lyanco,0.9,2,1,0.8,3.1,0.3,1.1,-
151,Adama Soumaoro,1.2,1,1.7,0.7,3.3,0.3,1.2,-
152,Federico Ceccherini,0.6,1.6,1.9,0.1,2.4,0.2,0.3,-
153,Tomás Rincón,1.9,0.9,2,0.1,1.1,1,0.2,-
154,Rick Karsdorp,1.1,0.9,1.1,0.3,0.9,0.8,-,-
155,Bryan Cristante,0.8,1.2,0.9,0.6,1.8,0.6,0.2,1
156,Tolgay Arslan,1.7,0.7,1.3,0.1,0.4,1,0.1,-
157,Andreas Cornelius,0.4,-,1.2,-,0.9,0.3,0.1,-
158,Adrien Tameze,1.2,1,1.1,0.1,1.2,0.6,0.2,-
159,Alex Meret,-,-,-,-,0.6,-,-,-
160,Charalampos Lykogiannis,1.1,1,0.9,0.3,2.5,0.5,0.4,-
161,Lucas Martínez,1.5,1.9,1.1,0.5,2.1,1.1,0.4,-
162,Mario Pasalic,1,0.3,0.8,-,0.2,0.3,-,-
163,Mário Rui,0.9,1,0.6,0.1,0.8,0.6,0.1,-
164,Jeff Chabot,1.9,1.5,1.3,1.3,1.7,0.6,0.5,-
165,Maya Yoshida,0.5,1.8,0.5,0.8,2.8,0.2,1.1,-
166,Arthur,0.8,0.8,0.5,-,0.4,0.9,-,-
167,Rodrigo Becão,1.7,1.9,1.4,0.2,2.6,0.6,0.8,-
168,Lorenzo Tonelli,1.4,1.1,1.3,0.6,4,0.5,0.6,-
169,Manuel Lazzari,0.8,0.6,0.8,0.1,0.8,0.8,0.1,1
170,Samir Handanovic,-,-,-,-,0.2,-,-,1
171,Tommaso Augello,1.1,0.9,0.4,0.4,1.7,0.4,0.1,-
172,Kamil Glik,1.2,1.7,0.9,0.8,4.2,0.8,0.9,1
173,Konstantinos Manolas,1,0.8,0.7,0.6,2.5,0.2,0.4,-
174,Emmanuel Gyasi,0.8,0.4,1.8,-,0.2,0.6,0.1,-
175,Gervinho,0.2,0.4,0.3,-,0.1,0.5,-,-
176,Tommaso Pobega,1.2,0.5,1.4,0.2,1,1,0.1,-
177,Riccardo Sottil,0.3,0.2,0.8,-,0.1,0.3,-,-
178,Giacomo Raspadori,0.2,0.1,0.3,-,0.3,0.1,0.2,-
179,Brahim Díaz,0.7,0.1,0.5,-,0.1,0.5,-,-
180,Mikkel Damsgaard,1.2,0.7,0.7,-,0.3,1.4,0.1,-
181,Arturo Vidal,1.2,1.3,1.2,-,0.4,1.3,0.1,-
182,Nicola Sansone,0.8,0.3,0.9,-,0.3,0.8,-,-
183,Yann Karamoh,1.1,0.2,0.6,-,0.4,0.8,-,-
