,Rank,Name,Nation,Pos,Team,Age,Born,Mp,Start,Min,Goals,Ast,G_A,G_PK,PK,PKatt,Yellow,Red
303,304,Han Seung-gyu,kr KOR,"MF,FW",FC Seoul,26,1996,17,6,760,1,1,2,1,0,0,2,0
304,305,Paik Seung-ho,kr KOR,"MF,FW",Jeonbuk,25,1997,27,23,"2,089",3,1,4,3,0,0,3,0
305,306,Oh Seung-hoon,kr KOR,GK,Daegu,34,1988,21,21,"1,845",0,0,0,0,0,0,3,0
306,307,Jung Seung-hyun,kr KOR,DF,Ulsan Hyundai,28,1994,23,19,"1,730",1,0,1,1,0,0,4,0
307,308,Lee Seung-mo,kr KOR,"MF,FW",Pohang,24,1998,11,8,597,0,0,0,0,0,0,3,0
308,309,Lee Seung-mo,kr KOR,MF,FC Seoul,24,1998,9,6,421,2,0,2,2,0,0,1,0
309,310,Lee Seung-woo,kr KOR,"MF,FW",Suwon FC,25,1998,35,16,"2,572",10,3,13,10,0,0,5,1
310,311,Ryu Seung-woo,kr KOR,"MF,FW",Suw Bluewings,29,1993,8,2,333,0,0,0,0,0,0,1,0
311,312,Jung Seung-yong,kr KOR,"MF,DF",Gangwon,31,1991,22,17,"1,642",1,0,1,1,0,0,2,0
312,313,Ko Seungbeom,kr KOR,MF,Suw Bluewings,28,1994,32,27,"2,469",2,1,3,2,0,0,4,0
313,314,Son Seungbeom,kr KOR,FW,FC Seoul,18,2004,1,0,36,0,0,0,0,0,0,1,0
314,315,Park Seungho,kr KOR,FW,Incheon United,19,2003,9,7,506,1,0,1,1,0,0,1,0
315,316,Lee Seungjoon,kr KOR,MF,FC Seoul,18,2004,2,1,52,0,0,0,0,0,0,0,0
316,317,Kwak Seungmin,kr KOR,FW,Jeju United FC,18,2004,8,8,134,0,0,0,0,0,0,0,0
317,318,Kim Seungsub,kr KOR,"MF,FW",Jeju United FC,26,1996,29,6,"1,258",2,1,3,2,0,0,3,0
318,319,Ha Seungun,kr KOR,"MF,FW",Gwangju FC,24,1998,18,4,581,2,1,3,2,0,0,1,0
319,320,Jeong Seungwon,kr KOR,"MF,FW",Suw Bluewings,25,1997,17,9,"1,156",0,0,0,0,0,0,4,0
320,321,Lee Seungwon,kr KOR,MF,Gangwon,19,2003,13,13,498,0,0,0,0,0,0,0,0
321,322,Kim Seungwoo,kr KOR,DF,Gwangju FC,24,1998,5,4,318,0,0,0,0,0,0,0,0
322,323,Seo Seungwoo,kr KOR,MF,Suwon FC,20,2002,1,1,13,0,0,0,0,0,0,0,0
323,324,Park Seungwook,kr KOR,DF,Pohang,25,1997,32,29,"2,714",1,1,2,1,0,0,5,0
324,325,Song Si-woo,kr KOR,MF,Incheon United,29,1993,7,0,169,0,1,1,0,0,0,0,0
325,326,Hong Sihoo,kr KOR,"MF,FW",Incheon United,22,2001,12,4,410,2,1,3,2,0,0,2,0
326,327,Rafael Silva,br BRA,"FW,MF",Jeonbuk,30,1992,25,15,"1,284",3,1,4,3,0,0,5,1
327,328,Kim Sinjin,kr KOR,"FW,MF",FC Seoul,21,2001,27,14,"1,510",5,1,6,5,0,0,4,0
328,329,Jang Siyoung,kr KOR,MF,Ulsan Hyundai,20,2002,10,7,234,1,0,1,1,0,0,2,0
329,330,Lee Siyoung,kr KOR,"DF,MF",FC Seoul,25,1997,15,4,564,0,2,2,0,0,0,2,0
330,331,Lee Soobin,kr KOR,MF,Jeonbuk,22,2000,14,11,830,0,0,0,0,0,0,4,0
331,332,Park Sooil,kr KOR,"DF,MF",FC Seoul,26,1996,36,27,"2,636",1,3,4,1,0,0,3,0
332,333,Hwang Soonmin,kr KOR,"DF,MF",Suwon FC,32,1990,8,5,371,0,0,0,0,0,0,1,0
