,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
140,Ashley Barnes,0.8,0.1,1.5,-,0.6,0.6,0.2,1
141,Moussa Sissoko,1.2,0.6,0.8,-,0.7,0.5,0.1,-
142,Charlie Taylor,1.4,1.1,0.4,0.3,2.2,0.7,0.9,-
143,Jóhann Gudmundsson,0.9,1.1,0.3,-,1.1,0.6,0.1,-
144,Pablo Zabaleta,1.8,1.8,0.7,0.3,3.3,1,0.6,-
145,Naby Keïta,1.5,0.5,1,-,0.5,1.1,0.2,-
146,Angelo Ogbonna,1.3,1.5,0.6,1,4.1,0.4,0.8,-
147,Eric Dier,1.3,1.1,1.2,-,2.1,1.4,0.6,-
148,Vicente Guaita,-,-,0.1,-,1,-,-,-
149,Paul Dummett,1.3,1.4,0.4,0.4,4.7,0.5,0.4,-
150,Aaron Mooy,2.1,0.5,0.9,-,0.7,1.1,0.2,-
151,Neil Etheridge,-,0.2,-,-,0.8,-,-,-
152,Will Hughes,2.3,0.8,1.7,-,0.7,1.1,0.2,-
153,Lewis Dunk,1.2,1.3,0.6,0.3,5.4,0.6,1.1,-
154,Lucas Torreira,1.9,1.2,1.1,0.1,0.9,0.9,0.2,-
155,Mamadou Sakho,0.9,1.5,0.2,0.6,4.9,0.3,0.6,-
156,Víctor Camarasa,0.9,1,0.7,-,0.8,0.8,0.1,-
157,Maxime Le Marchand,2.2,2.1,1.1,0.6,4.7,0.9,0.6,-
158,Patrick van Aanholt,1.3,1.1,0.3,0.2,2.3,0.4,0.3,-
159,Martín Montoya,2.3,1.9,1.2,0.3,2.5,0.9,0.4,-
160,Adam Smith,1.8,1.2,0.7,0.2,2.3,0.9,0.3,-
161,Xherdan Shaqiri,0.6,0.3,0.4,-,0.3,0.4,-,-
162,Aaron Ramsey,1.2,0.3,0.8,-,0.1,0.6,-,-
163,Dan Gosling,2.3,0.8,1.2,-,1.8,1,0.4,-
164,Juan Mata,0.4,0.3,0.5,-,0.2,0.7,-,-
165,Steve Mounié,0.3,0.2,1,-,0.5,0.3,-,-
166,Ben Foster,0.1,0.1,0.1,-,1.2,0.1,-,-
167,Frank Anguissa,2.2,1.5,1,0.1,1.3,1.5,0.3,-
168,Ben Davies,2.1,0.9,0.7,0.3,2.3,0.6,0.4,-
169,Bruno Ecuele Manga,1.8,2.1,0.4,0.3,4.5,0.8,0.7,-
170,Bernd Leno,-,0.1,-,-,1,0.1,-,-
171,Victor Lindelöf,1.3,0.8,0.6,0.7,3.9,0.3,0.4,1
172,Pascal Groß,1.1,0.5,0.4,-,0.9,1,0.3,-
173,Aaron Cresswell,1.5,1.2,0.1,0.4,2.1,0.6,0.4,-
174,Marc Albrighton,1.3,0.9,0.4,-,0.9,0.7,0.1,-
175,Chris Wood,0.3,0.1,0.7,-,0.7,0.3,0.1,-
176,Christian Kabasele,1.2,1.8,1,1.1,5,0.6,0.8,-
177,Jordan Henderson,1.4,0.9,0.8,-,0.4,0.7,0.1,-
178,Jeffrey Schlupp,1.4,0.6,0.8,-,0.7,0.6,0.3,-
179,Ederson,0.1,-,0.1,-,0.5,-,-,-
180,Roberto Pereyra,0.6,0.7,0.8,-,0.6,0.5,-,-
181,Craig Cathcart,1.4,1.1,0.4,1.1,5,0.4,0.8,2
182,Yan Valery,1.8,1,1.2,0.3,2.5,0.6,0.1,-
