,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
101,Pedri,Barcelona,21, AM(CL),28(9),2430,3,3,2,-,0.7,87.7,0.1,-,6.75,1.2,0.9,0.5,-,0.1,1.5,-,-,0.8,1.1,-,0.9,0.9,45.8,87.7,0.1,1.6,0.1
102,Brais Méndez,Celta Vigo,27," AM(CR),FW",30(4),2679,9,-,8,-,1.5,78.6,1,1,6.75,1.7,0.9,2.3,-,0.8,1.4,0.1,-,0.4,1.8,0.1,1.3,1.3,33.7,78.6,0.2,1.2,0.1
103,Álvaro Negredo,Cadiz,38, FW,29(6),2217,8,4,3,1,1.4,57.3,3.7,4,6.75,0.3,0.1,0.6,0.1,0.5,0.2,0.1,-,0.8,1.1,0.2,0.6,0.6,16.0,57.3,-,0.6,0.1
104,Sergio Herrera,Osasuna,30, GK,32(1),2957,-,-,2,-,-,49.8,0.4,4,6.75,-,0.1,-,-,1.4,0.1,-,-,-,0.3,-,-,-,32.4,49.8,-,12.5,-
105,David Ferreiro,SD Huesca,36, AM(CLR),29(8),2543,2,4,5,-,0.7,75.8,0.3,1,6.74,0.7,0.7,1.4,0.1,0.2,1.1,-,-,1.2,1,0.4,1,1,22.2,75.8,1.8,1.4,-
106,Ronald Araujo,Barcelona,25, D(CR),16(8),1509,2,1,3,-,0.5,91.8,2.1,-,6.74,0.9,0.8,0.5,0.3,1.8,-,0.6,-,0.3,0.7,0.1,0.1,0.1,44.4,91.8,-,1.4,-
107,Paulo Oliveira,Eibar,32, D(C),29(2),2640,-,1,4,-,0.4,68.3,3.1,2,6.74,1.4,1.9,0.9,0.6,3.5,0.5,0.5,-,0.2,0.3,-,0.1,0.1,39.3,68.3,-,4.7,-
108,Alberto Perea,Cadiz,33, AM(LR),16(11),1552,2,3,-,-,1,79.0,0.1,1,6.73,1,0.8,0.2,-,0.2,1,-,-,2.3,1.2,-,1.3,1.3,16.7,79.0,0.4,0.9,-
109,Denis Suárez,Celta Vigo,30, M(CLR),34(1),2864,-,9,10,-,0.5,84.4,0.4,-,6.73,1.8,0.6,1.3,-,0.4,2.1,0.1,-,1,1.1,-,0.7,0.7,54.3,84.4,0.9,2.1,0.1
110,João Félix,Atletico,24," AM(CL),FW",14(17),1570,7,5,6,-,1.3,84.0,0.7,4,6.73,0.3,0.2,0.5,-,0.1,0.4,-,-,1,1.5,0.2,1.1,1.1,21.5,84.0,-,0.9,0.1
