,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
27,Christian Pulisic,Chelsea,25," M(CLR),FW",19(6),1727,9,4,-,-,2.5,79.9,0.8,4,7.18,0.9,0.2,0.6,-,0.3,0.7,-,-,2.2,1.2,0.1,2.5,2.5,26.7,79.9,0.2,0.8,-
28,Sergio Agüero,Man City,35," AM(CL),FW",18(6),1460,16,3,1,-,3.2,80.5,0.1,2,7.16,0.3,0.1,0.4,-,0.1,0.3,-,-,1,0.4,0.3,1.3,1.3,14.8,80.5,-,-,-
29,Lucas Digne,Everton,30," D(CL),M(L)",35,3035,-,7,6,-,0.8,74.2,3.3,2,7.16,2.1,1.2,1.2,0.2,2.7,1,0.3,1,0.7,0.8,0.1,0.7,0.7,39.3,74.2,2.1,1.8,0.1
30,James Ward-Prowse,Southampton,29, M(CR),38,3420,5,3,9,-,1.5,80.9,1.9,1,7.15,2.4,1.6,1.5,0.1,1.9,1.4,0.4,-,0.4,1.1,-,0.6,0.6,43.8,80.9,1.5,2.1,-
31,Jordan Henderson,Liverpool,33," D(C),M(CLR)",26(4),2244,4,5,2,-,0.7,84.5,0.9,1,7.15,2.1,1,1,0.1,0.6,1.1,0.1,-,0.6,0.4,-,0.2,0.2,61.9,84.5,0.3,4.2,0.1
32,Roberto Firmino,Liverpool,32," M(CLR),FW",34(4),3003,9,8,-,-,2.6,79.6,0.7,2,7.14,1,0.2,0.8,0.1,0.3,0.9,0.1,-,1.4,0.4,0.2,1,1,30.6,79.6,0.1,0.7,-
33,César Azpilicueta,Chelsea,34," D(CLR),M(R)",36,3230,2,6,1,-,0.8,80.7,2.6,2,7.12,2.4,1.9,1.1,0.1,2.3,0.9,0.6,-,0.3,0.4,0.1,0.4,0.4,67.6,80.7,0.8,2.2,-
34,Harry Maguire,Man Utd,31, D(C),38,3451,1,1,6,-,0.8,86.7,4.6,1,7.12,1,1.9,0.9,0.4,4.1,0.4,0.6,-,0.2,0.6,0.2,0.2,0.2,66.3,86.7,-,4.4,-
35,Danny Ings,Southampton,31," AM(C),FW",32(6),2815,22,2,3,-,2.4,62.7,1.2,4,7.12,1.1,0.2,0.9,-,0.6,1.4,0.1,-,1.3,0.7,0.3,1.3,1.3,16.9,62.7,0.2,0.5,-
36,Andy Robertson,Liverpool,30," D(L),M(L)",34(2),3114,2,12,2,-,0.6,83.7,0.9,2,7.11,1.5,1.1,0.5,0.5,1.6,0.9,0.2,-,0.6,0.4,0.1,0.3,0.3,69.2,83.7,1.1,2.3,-
