,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
201,Damián Suárez,819,Getafe,35,D,28,1961,1,0.9,24.2,67.0,0.7,1.7,0.0,6.54,1,7,0,0.2,0.5,0,0.5,0.6,0.1,0.2,0.8,1.8,0.5,1.5,0.3,1.1,0.8,0.0,0
203,Javi Sánchez,58,Real Valladolid,26,D,32,2395,0,0.1,36.3,82.5,0.0,2.6,0.0,6.54,1,11,0,0.3,1.4,0,0.2,0.3,0.0,0.1,0.2,1.3,1.4,1.1,0.3,3.5,0.3,0.7,0
206,Manu Sánchez,131,Osasuna,22,D,31,2117,2,0.9,28.5,81.5,0.8,1.0,0.0,6.54,0,3,0,0.3,0.5,0,0.5,0.3,0.1,0.5,0.9,1.6,0.5,0.8,0.3,1.2,1.0,0.2,0
208,Rubén Peña,131,Osasuna,31,D,20,1282,1,0.5,22.8,73.2,0.4,1.0,0.0,6.53,0,2,1,0.6,0.7,1,1.0,0.7,0.0,0.7,1.6,1.6,0.9,1.3,0.2,1.2,1.1,0.4,0
209,Djené Dakonam,819,Getafe,31,D,33,2847,1,0.2,33.4,77.5,0.3,2.0,0.0,6.53,0,10,1,0.3,1.6,0,0.5,1.2,0.0,0.5,0.7,1.2,1.3,1.5,0.7,2.3,0.5,0.3,0
210,Srdjan Babic,1799,Almeria,27,D,34,2999,0,0.2,40.0,85.8,0.0,2.4,0.0,6.53,3,5,0,0.3,2.1,0,0.1,0.3,0.1,0.1,0.3,0.8,0.9,0.7,1.2,3.6,0.5,0.6,0
211,Marcos Alonso,65,Barcelona,32,D,24,1163,0,0.3,40.2,90.9,0.3,2.1,0.0,6.53,1,3,0,0.3,1.1,0,0.1,0.3,0.0,0.0,0.3,0.6,0.5,0.4,0.7,1.3,0.1,0.4,0
212,Antonio Rüdiger,52,Real Madrid,30,D,33,2411,0,0.1,48.2,92.1,0.0,1.9,0.1,6.53,1,1,0,0.7,1.1,0,0.1,0.2,0.1,0.1,0.2,0.5,0.6,0.4,0.3,2.1,0.3,0.4,0
213,Rodrigo Ely,1799,Almeria,29,D,36,3158,1,0.2,40.7,81.5,0.0,3.1,0.1,6.52,0,8,1,0.5,2.2,0,0.1,0.4,0.1,0.1,0.4,0.8,0.9,0.7,1.1,5.6,0.2,0.9,1
215,Joaquín Fernández,58,Real Valladolid,27,D,27,2158,0,0.1,36.3,83.2,0.0,2.7,0.0,6.52,1,4,0,0.4,2.0,1,0.0,0.4,0.1,0.0,0.3,1.3,1.0,0.6,0.5,3.6,0.4,0.8,1
216,Jaume Costa,51,Mallorca,35,D,32,2610,1,1.0,27.6,74.7,0.8,1.2,0.0,6.52,0,11,0,0.3,0.9,0,0.3,1.0,0.2,0.3,0.7,1.6,0.7,1.4,0.1,1.2,0.7,0.2,0
217,Yan Couto,2783,Girona,21,D,25,1154,2,0.8,18.7,78.8,0.6,0.7,0.0,6.52,1,3,0,0.3,0.0,0,1.1,0.6,0.1,0.5,1.0,1.0,0.2,0.5,0.1,0.4,0.3,0.1,0
218,Alex Telles,67,Sevilla,30,D,27,1428,2,0.7,20.2,81.1,0.9,0.9,0.0,6.52,0,6,0,0.4,1.0,0,0.5,0.5,0.0,0.0,0.4,0.8,0.7,0.9,0.3,1.3,0.4,0.2,0
222,Andrés Guardado,54,Real Betis,36,D,26,1376,1,0.5,32.7,85.2,0.2,2.6,0.1,6.51,1,7,0,0.3,0.7,0,0.2,0.4,0.0,0.2,0.7,1.6,0.9,0.6,0.0,0.8,1.0,0.2,0
224,Juan Iglesias,819,Getafe,24,D,32,2144,0,0.4,18.9,61.4,0.6,1.1,0.0,6.51,1,8,0,0.7,0.5,0,0.4,0.7,0.1,0.3,0.9,1.9,0.7,1.4,0.2,2.2,1.0,0.2,0
226,Domingos Duarte,819,Getafe,28,D,31,2658,2,0.1,30.9,77.1,0.0,2.7,0.0,6.5,0,9,1,0.5,1.5,1,0.2,0.7,0.1,0.1,0.2,0.8,1.3,1.0,0.6,4.5,0.2,0.7,1
229,Gastón Álvarez,819,Getafe,23,D,22,1504,0,0.2,18.8,62.6,0.2,0.6,0.0,6.5,2,8,1,0.2,1.4,0,0.4,0.5,0.0,0.1,0.6,1.7,0.7,1.2,0.2,1.5,0.9,0.2,0
231,Andoni Gorosabel,68,Real Sociedad,26,D,27,1712,0,0.5,30.4,86.7,0.5,1.1,0.0,6.49,0,3,0,0.5,0.7,1,0.3,0.6,0.0,0.3,0.5,1.5,0.6,0.9,0.1,0.8,0.6,0.1,0
232,Leandro Cabrera,70,Espanyol,32,D,32,2673,1,0.4,38.5,73.3,0.2,2.7,0.0,6.48,0,8,2,0.7,1.9,0,0.2,0.6,0.0,0.2,0.3,1.4,1.3,0.9,0.5,3.3,0.5,0.7,1
