,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
299,Unai López,-,-,0.7,0.5,0.6,0.2,0.7,0.7
300,Mikel Vesga,2,-,0.4,0.3,0.5,-,0.3,0.3
301,Javi Martínez,1,1,0.3,0.4,0.3,-,0.4,0.4
302,Raúl Guti,-,-,0.6,0.4,1.1,-,0.5,0.5
303,Sandro Ramírez,3,-,1.7,0.4,1.6,0.4,0.6,0.6
304,Roberto Torres,2,2,0.5,0.2,0.4,-,0.2,0.2
305,Clément Lenglet,-,1,0.1,-,0.2,-,0.1,0.1
306,Salvi Sánchez,2,1,0.9,0.4,0.7,-,0.2,0.2
307,Ángel Montoro,1,1,0.9,-,0.8,0.1,0.5,0.5
308,Édgar Méndez,1,1,0.8,0.4,1,0.5,0.6,0.6
309,Iván Marcone,-,-,0.1,0.5,0.2,-,0.2,0.2
310,Amath Ndiaye,-,1,0.6,0.8,0.9,0.3,1,1
311,Portu,1,2,0.7,0.2,0.7,0.3,0.5,0.5
312,Nolito,2,-,0.6,0.4,0.3,0.2,0.7,0.7
313,Abdón Prats,3,-,0.7,0.3,0.6,0.1,0.8,0.8
314,Nico Melamed,2,-,0.6,0.7,1.2,0.1,0.6,0.6
315,Juan Iglesias,-,1,0.3,0.3,0.9,0.1,0.4,0.4
316,Asier Villalibre,2,-,1,0.2,0.7,0.2,0.7,0.7
317,Aitor Ruibal,-,-,1.1,0.7,0.8,0.1,0.6,0.6
318,Tomás Pina,-,-,0.2,0.1,1,-,0.2,0.2
319,Oier Zarraga,1,-,0.6,0.1,0.4,-,0.3,0.3
320,Loren Morón,1,-,0.5,0.2,0.7,0.3,0.4,0.4
321,Miguel de la Fuente,1,1,1,0.6,0.9,0.2,0.5,0.5
322,Facundo Pellistri,-,-,0.3,0.5,1,0.1,0.6,0.6
323,Pere Pons,1,-,0.6,0.1,0.6,0.1,0.4,0.4
324,Oier Sanjurjo,1,-,0.3,0.1,0.2,0.1,0.2,0.2
325,Augusto Solari,-,-,0.3,0.3,0.4,-,0.5,0.5
326,Wu Lei,1,-,0.3,-,0.2,0.2,-,-
327,Jaime Mata,1,-,0.4,0.2,0.7,0.4,0.3,0.3
328,Alejandro Cantero,-,1,0.6,0.3,0.2,-,0.3,0.3
