,Name,AvgP,PSp,Crosses,LonB,ThrB
118,David Brooks,28.5,73.1,0.3,0.7,0.2
119,Danny Ings,16.3,71.4,-,0.5,0.2
120,Davinson Sánchez,62.6,89.9,-,2.7,-
121,Callum Paterson,20.4,48.4,0.2,0.5,-
122,Calum Chambers,47.9,79,-,2.9,-
123,Sokratis Papastathopoulos,55.5,89.4,-,4.1,-
124,James McArthur,36.8,79.3,0.1,1.7,0.1
125,Jamaal Lascelles,34.5,76.7,-,2.3,-
126,Ashley Westwood,41.7,76.4,0.9,3,0.1
127,Solly March,21.6,70.6,1.3,0.9,-
128,Alisson Becker,28.3,80.3,-,4.8,-
129,Chris Smalling,39.8,86.2,-,2.1,-
130,Antonio Rüdiger,76.9,91.5,-,4.5,0.1
131,Robert Snodgrass,29.4,82.1,1.8,0.8,0.1
132,Mesut Özil,46.6,88.6,0.8,1.2,0.1
133,Kurt Zouma,45.1,83.6,-,3.2,-
134,Zanka,48.9,82.1,-,2.9,-
135,Joe Bennett,23.1,71.8,0.4,1.4,-
136,Ryan Bennett,39.6,79.6,-,2,-
137,Nemanja Matic,65.6,86.9,0.1,3.9,-
138,Oriol Romeu,35.5,79.3,-,1.8,-
139,Abdoulaye Doucouré,55.4,83.5,0.1,1.7,0.1
140,Ashley Barnes,14,59.1,-,0.4,0.1
141,Moussa Sissoko,46.5,86.7,0.1,1.4,-
142,Charlie Taylor,30.9,72.5,0.6,2.2,-
143,Jóhann Gudmundsson,16.9,72.5,1.3,0.6,-
144,Pablo Zabaleta,33.1,76.7,0.3,1.4,-
145,Naby Keïta,40.2,88.5,-,0.6,0.1
146,Angelo Ogbonna,33.1,83.6,-,1.8,-
147,Eric Dier,54.2,84.9,0.1,2.3,0.1
148,Vicente Guaita,25,42.5,-,6.3,-
149,Paul Dummett,29.2,71.1,0.3,2,-
150,Aaron Mooy,44.1,80.2,1.4,2.1,-
151,Neil Etheridge,30.1,32.3,-,9.1,-
152,Will Hughes,30,76.4,0.1,0.5,-
153,Lewis Dunk,41.4,82.8,-,4.5,-
154,Lucas Torreira,46.8,87.4,0.2,1.8,-
155,Mamadou Sakho,48.9,88.6,-,2.2,-
156,Víctor Camarasa,27.7,75.1,1.3,1.4,-
157,Maxime Le Marchand,53.3,83.3,0.2,3.5,-
158,Patrick van Aanholt,44.7,79.8,0.3,1.9,0.1
159,Martín Montoya,34.3,80,0.6,1.5,-
160,Adam Smith,34.9,82,0.2,0.9,-
161,Xherdan Shaqiri,26.6,81.2,0.5,1.5,0.2
162,Aaron Ramsey,27.6,82,0.2,0.9,-
163,Dan Gosling,38.8,79.6,-,1.9,0.1
164,Juan Mata,31.8,86,0.6,2.2,0.1
165,Steve Mounié,18,64.5,-,0.1,-
166,Ben Foster,30.3,44.8,-,9.6,-
167,Frank Anguissa,47.4,87.4,-,1.6,-
168,Ben Davies,40.2,82.8,0.3,1.2,-
169,Bruno Ecuele Manga,25.2,64.9,0.1,2.4,-
170,Bernd Leno,28.8,69.2,-,4.9,-
171,Victor Lindelöf,49.7,89.2,-,2.1,-
172,Pascal Groß,32.4,75.6,1.8,2.1,-
173,Aaron Cresswell,40.6,81.4,0.8,1.5,-
174,Marc Albrighton,23,65.9,0.8,1.7,-
175,Chris Wood,15.8,64.8,0.1,0.1,0.1
176,Christian Kabasele,26.2,73.9,-,2.1,-
177,Jordan Henderson,54.4,87.2,0.2,3.3,0.1
178,Jeffrey Schlupp,21,75.9,0.1,0.5,-
179,Ederson,24.2,82.6,-,3.3,-
180,Roberto Pereyra,34,83.2,0.2,1.4,-
181,Craig Cathcart,35.5,81.5,-,2.7,-
182,Yan Valery,17.3,61.9,0.3,0.6,-
183,Dale Stephens,45.1,83.7,-,4.1,-
184,Joe Bryan,33.9,75.4,0.8,1.7,-
185,Ross Barkley,35.3,91.2,-,1.5,0.1
186,André Gomes,44.4,84.8,0.1,3.5,-
187,Glenn Murray,15.9,58.3,-,0.2,-
188,Mateo Kovacic,45.9,92,-,0.9,0.2
189,Davy Pröpper,40.4,80,0.1,2.5,0.1
190,Mark Noble,48.6,85.3,0.2,4.4,0.2
191,Anthony Knockaert,20.5,76.9,1.3,1.3,-
192,Gabriel Jesus,12.3,82.6,-,0.1,-
193,Matthew Lowton,30.4,69,0.3,3.4,-
194,Sam Vokes,13.4,50.7,-,0.1,-
195,Yves Bissouma,25.5,81.8,0.1,0.9,-
196,Kepa,27.9,85.4,-,5.2,-
197,Alex Iwobi,27.2,77.8,0.3,0.8,-
198,Denis Odoi,43,82.1,0.1,2.2,-
199,Martin Dúbravka,27.2,53.4,-,7.4,-
200,Dominic Calvert-Lewin,12.2,61.7,0.1,0.3,-
201,Cyrus Christie,31.6,76.4,0.6,0.8,-
202,Ryan Bertrand,32.3,75.5,0.9,0.8,0.1
203,Sead Kolasinac,40.5,77.7,0.5,0.8,-
204,Aron Gunnarsson,26.8,71.6,0.1,1.5,-
205,Cheikhou Kouyaté,24.7,80.1,-,0.6,-
206,Jonathan Hogg,53.3,83.2,0.1,2.4,-
207,Adrian Mariappa,34,82.3,-,2.2,-
208,Tom Cairney,44.3,90.2,0.2,1.9,0.1
209,Bernard,23.7,75.3,0.4,0.5,0.1
210,Alexis Sánchez,19.1,74.6,0.3,1.2,0.1
211,Jesse Lingard,28.2,85.7,0.1,0.3,0.1
212,Adama Traoré,9.3,72.2,0.5,0.2,-
213,Chicharito,12.9,71.1,-,0.4,0.1
214,André Schürrle,21.8,77.8,0.4,0.7,-
215,Christopher Schindler,41.9,82.8,-,4,-
216,Terence Kongolo,35.9,78,0.1,2.2,-
217,Alex McCarthy,23.4,45,-,5.6,-
218,Jack Cork,35.9,81.2,0.1,2.1,0.1
219,Sergio Rico,27.4,53.8,-,9.2,-
220,Mohamed Diamé,25.3,77.2,-,1.3,-
221,Kiko Femenía,31.9,83.1,0.5,1.1,-
222,Harry Winks,53.4,91.8,-,2.2,-
223,Jean Seri,49.8,87,1.2,3.1,-
224,Mattéo Guendouzi,48.4,87.7,-,2.4,0.2
225,Lee Peltier,17.1,60.2,0.2,1.1,-
226,Josh Murphy,10.6,60.4,0.5,0.4,0.1
227,Kasper Schmeichel,29.4,65.5,-,9.2,-
228,Kenedy,18.5,72.3,0.4,0.7,-
229,Jack Stephens,32,75,-,2.4,-
230,Jonas Lössl,32.5,61.2,-,10.5,-
231,David de Gea,24.9,60,-,7.9,-
232,Alex Pritchard,29.9,74.9,0.6,1,-
233,Theo Walcott,15.6,72.6,0.3,0.2,-
234,Demarai Gray,19.3,77.6,0.1,0.6,-
235,Stuart Armstrong,21.1,78.6,0.1,0.7,-
236,Shane Long,11.7,64.6,-,-,-
237,DeAndre Yedlin,25.2,71.6,0.6,0.9,-
238,Jordan Ayew,13.3,77.7,-,0.3,-
239,Jordan Pickford,29.4,55.7,-,7.5,-
240,Juninho Bacuna,34,75.4,0.4,2.8,-
241,Fernando Llorente,11.2,66.4,-,0.2,-
242,Max Meyer,22.9,83.9,0.1,0.6,-
243,Luciano Vietto,19.3,78.8,0.4,0.2,0.1
244,Ademola Lookman,12,84.6,0.2,0.1,-
245,Junior Hoilett,13.8,71.6,0.6,0.5,-
246,Rui Patrício,20.5,53.6,-,6.9,-
247,Joe Ralls,27.8,69.2,0.9,2.9,-
248,Conor Coady,44.4,84.3,-,6.4,-
249,Charlie Daniels,40,78.7,0.4,1.9,-
250,Pedro Obiang,22.3,80,0.1,2,-
251,Christian Atsu,13.7,82.2,0.3,0.4,-
252,Cenk Tosun,10.3,70.5,-,0.3,-
253,Olivier Giroud,9.7,68.2,-,0.2,-
254,Ryan Sessegnon,19.6,73.4,0.4,0.4,0.1
255,Mathew Ryan,27.2,50.1,-,9.7,-
256,Bobby De Cordova-Reid,11.5,71.4,0.1,0.2,-
