,Name,AvgP,PSp,Crosses,LonB,ThrB
284,Francis Coquelin,22.8,88.8,-,0.9,-
285,Unai Vencedor,32.6,79.8,-,3.2,-
286,Erick Cabaco,23.4,62.1,0.1,3.9,-
287,Sergio Álvarez,25.4,77,-,1.9,-
288,Pere Pons,14.7,78.5,0.1,0.3,-
289,Deyverson,10.7,51.2,0.1,0.7,-
290,Manu Vallejo,8.2,76.8,0.1,0.2,-
291,Martin Braithwaite,9.5,82.2,-,0.1,-
292,Fede San Emeterio,22.5,78.5,-,1.3,-
293,Yunus Musah,12.8,75.2,0.1,0.3,-
294,Salvi Sánchez,14.3,64.5,0.9,0.3,-
295,Geoffrey Kondogbia,15.4,85.2,-,0.8,-
296,Iván Alejo,7.2,67.3,0.6,0.2,-
297,Unai Simón,23.2,63.4,-,6.5,-
298,David Timor,19.8,64,0.3,2.7,-
299,Yoshinori Muto,8.3,68.7,-,0.1,-
300,Jaime Mata,16.7,68.3,0.1,0.2,-
301,Luis Pérez,20.4,70.8,0.4,1.1,-
302,Álex Pozo,29.5,73.8,0.5,2.5,-
303,Roberto Soldado,11.3,62.3,-,0.4,-
304,Son,16.5,74.7,0.6,0.9,-
305,Lucas Torreira,16.4,87.2,-,0.5,-
306,Míchel Herrero,29.2,83.6,0.4,2,-
307,Nemanja Gudelj,26.1,93.1,-,0.9,-
308,Sergio Gómez,11.6,82.2,0.3,0.4,-
309,Enric Gallego,11.3,58.9,-,0.1,-
310,Kévin Rodrigues,19.2,73.2,0.4,1,-
311,Jota,19.8,75.2,0.3,1,0.1
312,Dani Gómez,9.4,78.4,-,0.1,-
313,Shinji Okazaki,6.8,76.3,-,0.1,-
314,Manu García,15.4,69.5,-,0.7,-
315,Emiliano Rigoni,14.7,82.2,0.5,0.4,-
316,Kevin Gameiro,9.7,77.4,-,0.1,-
317,Idrissa Doumbia,18,92,-,0.5,-
318,Fede Vico,14,73.6,0.2,0.6,-
319,Omenuke Mfulu,17.2,87.2,-,1.1,-
320,Dani Escriche,11.3,73.5,-,0.1,-
321,Jesús Vallejo,23.9,72.7,-,2.7,-
322,Jon Ander Garrido,9.9,78.5,-,0.6,-
