,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
47,Ellyes Skhiri,Montpellier,28, DMC,35(2),3092,3,2,5,-,0.7,85.7,1.2,3,7.00
48,Tanguy Ndombélé,Lyon,27, M(C),31(3),2693,1,7,3,-,0.9,89.1,0.6,1,6.99
49,Ismaïla Sarr,Rennes,26," AM(CLR),FW",32(3),2795,8,6,6,-,1.5,76.5,0.7,3,6.99
50,Thilo Kehrer,PSG,27," D(CLR),M(R)",19(8),1896,1,2,4,-,0.5,92.7,1.9,1,6.98
51,Pablo Martinez,Strasbourg,35, D(CL),32,2818,3,1,7,-,0.4,84.2,2.3,2,6.98
52,Yunis Abdelhamid,Reims,36, D(C),38,3420,-,-,2,-,0.5,82.9,3,3,6.97
53,Samuel Kalu,Bordeaux,26, M(CLR),14(7),1280,3,2,3,1,2,71.8,1,2,6.97
54,José Fonte,Lille,40, D(C),36,3112,3,1,5,1,0.9,87.4,3.3,1,6.97
55,Frédéric Guilbert,Caen,29," D(CLR),M(R)",33(1),2917,1,2,9,1,0.3,74.2,2.4,2,6.97
56,Ole Selnæs,Saint-Etienne,29," DMC,M(L)",19(1),1674,-,5,6,-,0.6,82.5,1.2,-,6.97
57,Bouna Sarr,Marseille,32," D(R),M(CLR)",25(4),2244,1,1,3,1,0.7,85.2,1.2,3,6.96
58,Loic Perrin,Saint-Etienne,38, D(C),31,2702,1,1,2,-,0.4,86.1,2.9,2,6.96
59,Cheikh N'Doye,Angers,38, M(C),26(1),2336,-,3,4,-,1.5,61,6.7,1,6.96
60,Jonas Martin,Strasbourg,34, M(CL),23,2061,3,1,9,-,0.9,88.4,0.8,2,6.96
61,Moussa Dembélé,Lyon,27, FW,21(12),2017,15,4,1,-,2.7,74.6,1.5,1,6.95
62,Fodé Ballo-Touré,Monaco,27," D(L),M(L)",18,1595,-,3,4,-,0.2,79.8,1.6,-,6.94
63,Alexander Djiku,Caen,29," D(CR),DMC",31,2755,1,-,9,1,0.2,83,2.9,3,6.94
64,Youri Tielemans,Monaco,26, M(C),20,1685,5,1,5,-,1.8,79.9,1.4,1,6.94
