,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
56,Marko Grujic,Hertha Berlin,28, DMC,29,2422,4,1,9,-,1.2,78.7,3.4,2,6.94,1.9,0.8,2.2,-,2.3,1.5,0.3,-,1,1,-,0.9,0.9,37.6,78.7,0.1,2.0,-
57,Pavel Kaderábek,Hoffenheim,32," D(R),M(LR)",28(2),2476,2,7,2,-,0.9,69.6,2.7,2,6.94,1.1,0.9,1,-,1.4,0.6,0.2,1,0.3,1.2,0.2,0.4,0.4,35.5,69.6,1.3,1.0,-
58,Moussa Diaby,Leverkusen,24," M(CLR),FW",18(10),1771,5,5,3,-,1.5,79.2,0.1,3,6.93,0.4,0.3,0.5,-,0.1,0.4,-,-,2.4,0.7,0.3,1.3,1.3,21.1,79.2,0.7,0.5,-
59,Nicolas Höfler,Freiburg,34," D(C),DMC",31(1),2785,1,-,9,-,0.8,84.6,1.8,2,6.93,2,2.2,1.6,0.1,1.6,1.3,0.6,-,1.1,1,-,0.5,0.5,47.0,84.6,-,2.0,-
60,Martin Hinteregger,Eintracht Frankfurt,31, D(C),30(1),2721,8,1,8,-,1.4,75.3,2.7,-,6.92,2.1,1.2,1,1,2.9,0.9,0.7,1,0.4,1,0.1,0.3,0.3,49.7,75.3,0.1,4.1,-
61,Karim Bellarabi,Leverkusen,34," M(CLR),FW",17(9),1429,4,6,2,-,2.1,76.4,0.1,1,6.92,0.7,0.4,0.8,-,0.2,0.7,-,-,2,0.5,0.2,1.3,1.3,20.8,76.4,0.6,0.7,-
62,Danny da Costa,Eintracht Frankfurt,30," D(R),M(R)",15(4),1389,1,4,-,-,0.9,67.5,1.3,-,6.92,1.4,0.8,0.4,0.1,1.2,0.5,0.1,-,1.2,0.3,0.2,0.5,0.5,23.2,67.5,1.2,1.0,0.1
63,Vincenzo Grifo,Freiburg,31, AM(CL),17(9),1623,4,8,1,1,1.9,79.2,0.5,2,6.92,0.6,0.5,0.4,-,0.6,0.7,-,-,1,0.6,0.2,1,1,25.1,79.2,1.3,1.5,0.1
64,Philipp Max,Augsburg,30," D(L),M(L)",31,2713,8,6,5,-,1.2,68.9,0.6,3,6.91,1.4,0.8,0.4,0.1,1.3,0.8,0.1,-,0.3,0.5,0.1,0.4,0.4,31.2,68.9,2.1,1.9,-
65,Amine Harit,Schalke,26," AM(CLR),FW",24(1),2109,6,4,3,-,1.2,83.8,0.3,3,6.91,0.6,0.3,0.8,-,0.1,0.8,-,-,2.4,2.8,0.3,2.6,2.6,34.9,83.8,0.3,1.4,-
