,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
40,Harry Maguire,Man Utd,31, D(C),34,3048,2,1,11,-,1.1,87.3,4,4,7.04
41,Gabriel Jesus,Man City,27," AM(LR),FW",22(7),2060,7,4,2,-,1.8,85,0.6,1,7.04
42,John Stones,Man City,29," D(CR),DMC",22,1934,4,-,-,1,0.7,93.3,1.7,1,7.03
43,James Justin,Leicester,26," D(CLR),M(LR)",23,2070,2,1,4,-,0.4,80.5,1.1,1,7.03
44,Luke Shaw,Man Utd,28," D(CL),M(L)",30(2),2657,1,5,8,-,0.3,85,1.2,2,7.03
45,Patrick Bamford,Leeds,30," AM(CLR),FW",37(1),3066,17,7,3,-,2.8,77.3,1.2,3,7.03
46,James Tarkowski,Burnley,31, D(C),36,3240,1,-,6,-,0.6,70.1,4.6,3,7.02
47,Antonio Rüdiger,Chelsea,31, D(CLR),19,1710,1,-,-,-,0.7,89.4,2.2,-,7.02
48,Trent Alexander-Arnold,Liverpool,25," D(R),DMC,M(R)",34(2),3033,2,7,2,-,1.5,79.4,0.2,2,7.02
49,Wesley Fofana,Leicester,23, D(C),27(1),2265,-,-,7,-,0.4,86.4,3.3,-,7.01
50,Declan Rice,West Ham,25," D(C),DMC",32,2880,2,1,2,-,0.8,88,1.4,1,7.01
51,Kalvin Phillips,Leeds,28," D(C),DMC",28(1),2431,1,2,10,-,0.5,84.7,1,1,7.01
52,James Maddison,Leicester,27, AM(CLR),24(7),2105,8,5,4,-,2.4,83.3,0.1,2,7.00
53,Ben Chilwell,Chelsea,27," D(L),M(L)",27,2290,3,5,3,-,1,82,1.4,2,7.00
54,Emiliano Martínez,Aston Villa,31, GK,38,3420,-,-,1,-,-,62.5,0.3,3,7.00
55,Frank Anguissa,Fulham,28, M(C),29(7),2587,-,3,6,-,0.9,84.2,1.8,4,6.99
56,Yves Bissouma,Brighton,27, M(C),35(1),3114,1,-,8,1,1.2,87.4,1.1,-,6.98
57,Richarlison,Everton,26," AM(CLR),FW",33(1),2872,7,3,4,1,2.4,70,1.2,4,6.98
