,Name,AvgP,PSp,Crosses,LonB,ThrB
252,Goran Pandev,17.1,75.4,0.1,0.6,-
253,Ronaldo Vieira,33.1,83.9,0.4,3.1,-
254,Arkadiusz Reca,27.8,79.4,0.5,0.4,-
255,Fabio Pisacane,36,88.3,-,2.2,-
256,Khouma Babacar,11.5,73.9,-,0.4,-
257,Diego Farias,18.2,83.2,0.6,0.7,-
258,Dusan Vlahovic,10.3,67.3,-,0.2,-
259,Ibrahima Mbaye,34.9,84.4,0.1,0.9,-
260,Gabriel Strefezza,22.3,81.3,0.3,1,-
261,Lorenzo De Silvestri,24.3,74.9,0.7,0.8,-
262,Ales Mateju,32.9,81,0.1,1.7,-
263,Lukas Lerager,28,83.2,0.2,0.6,-
264,Stefano Denswil,45.8,86.7,-,2.5,-
265,Marco Benassi,17.9,76.8,0.2,0.6,-
266,Danilo Cataldi,19.4,87.3,0.5,1.2,-
267,Luca Rossettini,40.7,85.3,-,3.8,-
268,Žan Majer,26.4,81.9,0.2,1.3,-
269,Rômulo,22.7,83.4,0.5,0.5,-
270,Paolo Ghiglione,27.1,74.4,1,1.5,-
271,Yevhen Shakhov,16.3,84.2,-,0.8,-
272,Eljif Elmas,25.5,91.6,-,0.4,-
273,Federico Di Francesco,15.3,80.7,0.3,0.5,0.1
274,Francesco Vicari,37.7,87,-,3.3,-
275,Jony,17,79,1.3,1.4,-
276,Ragnar Klavan,39.2,89,-,2.4,-
277,Alessandro Murgia,30.1,89.2,1,0.9,-
278,Federico Peluso,41.9,86.9,-,1.7,-
279,Alfredo Donnarumma,13.7,68.6,0.1,0.3,-
280,Ilija Nestorovski,13.4,73.1,-,0.5,-
281,Fabio Lucioni,43.9,84.9,-,5,-
282,Artur Ionita,19.2,86.7,0.1,0.6,-
283,Alex Meret,23.6,82.9,-,2.2,-
284,Andrea Rispoli,31.6,79,0.9,1.9,-
285,Mattias Svanberg,15.5,85.8,0.2,0.4,-
286,Nicola Murru,27.1,70.5,0.6,1.4,-
287,Federico Santander,10.9,66.8,-,0.2,-
288,Florian Ayé,13.6,67.6,0.1,0.2,-
289,Sasa Lukic,26.6,86.4,0.2,1.2,-
290,Bruno Martella,17.4,73,0.9,0.5,-
291,Peter Ankersen,27.1,83.3,0.3,0.5,-
292,Daniele Dessena,27.5,80.8,0.1,1.7,-
293,Hidde ter Avest,14.1,72,0.2,0.4,-
294,Nenad Tomovic,38,83,0.1,2.3,-
295,Riccardo Sottil,9,87,0.2,0.2,-
296,Giuseppe Pezzella,16,75.3,0.1,0.8,-
297,Sergio Floccari,10,81.7,0.2,0.1,-
298,Francesco Cassata,25.1,79.2,0.2,1.3,-
299,Andrea Favilli,9.6,69.6,-,0.3,-
300,Jaromír Zmrhal,15.9,76.3,0.1,0.4,-
301,Mattia Sprocati,9.1,71.4,0.3,0.1,-
302,Andreas Skov Olsen,12.2,79.9,0.5,0.4,-
303,Antonio Barreca,14.4,71.5,0.5,0.6,-
304,Emanuele Ndoj,11.4,76.7,0.1,0.8,-
305,Nikolas Spalek,15.8,70.4,0.2,0.2,-
306,Gianluca Caprari,11.9,79.5,0.1,0.5,-
307,Mariusz Stepinski,7.7,66,-,-,-
