,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
103,Boubakary Soumaré,Leicester,25,DM,26,1635,0,0,9,0,0.0,86.1,0.7,0,6.49,2.2,1.3,1.2,0.0,1.0,0.8,0.2,0,0.5,0.8,0.0,0.8,0.8,34.6,86.1,0.0,1.2,0.1,0.140625
104,João Palhinha,Fulham,28,DM,35,3113,3,0,14,0,1.1,83.0,2.1,2,6.93,4.2,1.3,1.4,0.0,1.7,1.8,0.1,1,0.4,1.4,0.0,0.8,0.8,36.2,83.0,0.0,2.5,0.0,0.421875
105,Cheick Doucouré,Crystal Palace,24,DM,34,2786,0,3,9,1,1.1,83.6,0.9,0,6.72,2.3,1.6,1.1,0.0,1.4,0.7,0.4,0,0.4,0.4,0.0,0.6,0.6,36.4,83.6,0.1,1.4,0.1,0.3125
106,Amadou Onana,Everton,22,DM,33,2496,1,2,9,0,1.0,84.0,1.8,0,6.71,2.2,1.1,1.3,0.0,1.1,0.4,0.2,0,0.5,1.5,0.1,0.5,0.5,29.4,84.0,0.0,1.2,0.1,0.171875
107,Rúben Neves,Wolves,27,DM,35,3022,6,1,12,0,1.9,84.0,0.7,5,6.95,2.3,1.4,1.1,0.0,2.3,1.3,0.6,0,0.6,0.5,0.0,0.4,0.4,58.1,84.0,0.3,6.1,0.1,0.25
108,Roméo Lavia,Southampton,20,DM,29,2230,1,0,9,0,0.4,86.4,0.3,0,6.56,2.1,1.1,1.0,0.0,0.8,1.1,0.4,0,1.0,1.7,0.0,1.1,1.1,34.2,86.4,0.1,1.6,0.1,0.0
109,Ryan Yates,Nottingham Forest,26,DM,26,1840,0,2,5,0,1.0,78.2,1.2,0,6.46,1.5,0.4,1.9,0.1,1.7,0.3,0.3,0,0.2,2.0,0.0,0.6,0.6,22.2,78.2,0.0,1.0,0.0,0.203125
110,Remo Freuler,Nottingham Forest,32,DM,28,2167,0,0,4,0,0.3,79.6,0.9,0,6.38,1.5,1.0,0.9,0.0,1.5,0.9,0.3,0,0.3,0.4,0.0,0.3,0.3,29.6,79.6,0.1,0.8,0.0,0.203125
111,Sergio Busquets,Barcelona,35,DM,35,2720,0,1,10,0,0.2,89.7,1.5,0,7.0,2.6,1.5,1.1,0.0,0.6,1.4,0.2,0,0.3,1.5,0.0,0.7,0.7,68.4,89.7,0.0,4.3,0.1,1.0
112,Arthur,Barcelona,27,DM,27,1441,0,1,2,0,0.2,93.5,0.1,0,6.49,0.6,0.3,0.4,0.0,0.3,0.3,0.0,0,0.4,1.5,0.0,0.4,0.4,47.4,93.5,0.0,2.1,0.0,1.0
113,Stanislav Lobotka,Celta Vigo,29,DM,31,2493,0,1,1,0,0.4,89.2,0.3,0,6.51,1.0,0.8,0.6,0.0,0.5,0.7,0.0,0,1.0,1.5,0.0,0.7,0.7,45.3,89.2,0.1,1.8,0.0,0.16363636363636364
114,Fran Beltrán,Celta Vigo,25,DM,30,1513,1,0,3,0,0.6,91.2,0.2,0,6.3,0.8,0.6,0.4,0.0,0.5,0.6,0.1,0,0.4,0.5,0.0,0.7,0.7,28.6,91.2,0.0,1.4,0.0,0.16363636363636364
115,Roque Mesa,Sevilla,34,DM,31,1747,2,2,9,1,0.9,87.4,0.4,0,6.48,1.5,0.5,1.5,0.0,0.3,0.7,0.0,0,0.7,0.8,0.1,1.1,1.1,29.5,87.4,0.5,1.7,0.0,0.4909090909090909
116,Manu García,Deportivo Alaves,38,DM,34,2327,1,1,6,0,0.8,74.3,3.1,0,6.68,2.4,0.7,1.8,0.0,1.8,1.6,0.2,1,0.4,1.6,0.1,0.8,0.8,27.4,74.3,0.1,1.1,0.0,0.32727272727272727
117,Dani García,Athletic Club,33,DM,29,2482,0,0,13,0,0.1,82.8,2.0,0,6.67,1.9,1.7,1.6,0.1,1.6,1.3,0.3,0,0.1,0.9,0.0,0.4,0.4,48.1,82.8,0.0,3.8,0.0,0.38181818181818183
118,Gonzalo Escalante,Eibar,31,DM,32,1784,4,1,6,0,0.7,78.2,1.4,0,6.59,1.5,0.7,1.0,0.1,0.6,0.8,0.1,0,0.7,0.6,0.0,0.6,0.6,23.6,78.2,0.0,1.2,0.0,0.2727272727272727
119,Santiago Cáseres,Villarreal,27,DM,23,1590,0,1,10,0,0.2,90.8,1.1,0,6.6,2.9,0.6,1.5,0.0,1.0,1.4,0.4,0,0.5,0.6,0.0,0.2,0.2,37.5,90.8,0.0,2.9,0.0,0.21818181818181817
120,Damián Musto,SD Huesca,36,DM,24,1689,0,0,11,0,0.5,80.4,2.0,0,6.51,2.2,1.4,2.0,0.2,2.1,0.7,0.5,0,0.0,0.7,0.0,0.5,0.5,32.3,80.4,0.0,2.5,0.0,0.01818181818181818
121,Alejandro Granell,Girona,35,DM,32,2392,0,4,5,0,1.2,76.1,1.0,1,6.87,2.0,1.1,1.0,0.0,1.0,1.5,0.2,0,0.7,1.5,0.0,0.8,0.8,40.8,76.1,1.7,3.4,0.1,0.09090909090909091
122,Aleix García,Girona,26,DM,31,1667,2,1,1,0,0.6,85.0,0.5,1,6.56,1.2,0.7,0.4,0.1,0.4,0.7,0.2,0,0.4,0.6,0.0,0.6,0.6,34.6,85.0,0.8,2.3,0.0,0.09090909090909091
123,Mauro Arambarri,Getafe,28,DM,33,2687,1,2,8,0,0.9,69.4,1.7,1,6.76,1.8,0.9,2.0,0.1,1.0,1.6,0.3,1,1.0,1.7,0.0,0.8,0.8,22.4,69.4,0.1,3.2,0.0,0.4909090909090909
124,Mikel Vesga,Leganes,31,DM,26,2075,1,1,3,0,0.5,80.1,1.9,0,6.77,1.9,1.5,1.2,0.0,1.0,2.4,0.2,0,0.7,0.9,0.0,1.1,1.1,30.2,80.1,0.2,1.6,0.0,0.23636363636363636
125,Rubén Alcaraz,Real Valladolid,33,DM,34,2978,3,2,13,0,1.5,83.6,1.5,2,6.89,2.8,1.1,2.0,0.1,1.4,1.7,0.3,0,0.7,3.2,0.0,1.2,1.2,50.4,83.6,0.2,5.3,0.0,0.16363636363636364
126,Sergio Busquets,Barcelona,35,DM,33,2491,2,2,10,0,0.3,89.9,1.2,1,7.07,2.4,1.3,1.4,0.0,0.6,0.9,0.2,0,0.7,1.5,0.0,0.4,0.4,78.0,89.9,0.0,3.3,0.2,0.9193548387096774
