,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
55,Danny Latza,Mainz 05,34,M,24,1873,0,3,4,0,1.6,80.7,1.3,1,6.69,1.7,0.8,1.0,0.0,1.1,1.7,0.4,0,0.7,1.7,0.1,1.0,1.0,42.3,80.7,0.1,2.3,0.2,0.4067796610169492
56,Robin Quaison,Mainz 05,30,M,28,2204,7,3,1,0,1.8,72.9,0.9,1,6.65,0.7,0.3,1.1,0.0,0.1,0.3,0.0,0,0.8,0.8,0.4,2.1,2.1,15.7,72.9,0.1,0.4,0.0,0.4067796610169492
57,Marco Richter,Augsburg,26,M,25,1433,4,6,4,0,2.2,70.0,0.9,1,6.7,0.5,0.5,0.9,0.0,0.4,0.5,0.0,0,1.4,1.0,0.3,1.7,1.7,17.3,70.0,0.2,1.2,0.2,0.22033898305084745
58,Daniel Baier,Augsburg,39,M,33,2824,0,1,7,0,0.8,76.4,0.9,0,6.61,1.9,1.8,1.5,0.1,1.5,1.3,0.2,0,0.5,1.5,0.0,0.8,0.8,47.7,76.4,0.1,3.6,0.0,0.22033898305084745
59,Koo Ja-Cheol,Augsburg,35,M,26,1644,2,1,3,0,1.0,80.8,1.0,0,6.61,1.4,1.0,1.0,0.0,0.7,0.7,0.2,0,0.5,1.4,0.1,1.6,1.6,24.0,80.8,0.0,1.0,0.0,0.22033898305084745
60,Hanno Behrens,Nuernberg,34,M,30,2643,4,1,3,0,1.3,67.6,3.5,1,6.6,1.5,1.1,1.3,0.0,1.5,0.9,0.4,0,0.3,0.8,0.1,0.5,0.5,30.2,67.6,0.0,1.1,0.1,0.0
61,Yuya Kubo,Nuernberg,30,M,22,1363,1,0,2,0,1.3,73.4,0.5,0,6.31,1.0,0.5,1.0,0.0,0.1,1.0,0.0,0,0.5,1.0,0.2,1.3,1.3,17.8,73.4,0.1,1.0,0.0,0.0
62,Thiago Alcântara,Bayern Munich,33,M,24,1772,3,0,7,0,0.8,90.5,1.5,1,7.47,1.9,1.9,1.0,0.2,0.5,0.9,0.1,0,3.0,0.5,0.0,0.8,0.8,74.9,90.5,0.1,6.2,0.0,1.0
63,Thomas Müller,Bayern Munich,34,M,33,2260,8,21,5,0,1.6,78.0,1.0,1,7.42,1.4,0.4,0.5,0.0,0.2,1.4,0.1,0,0.5,0.8,0.3,0.6,0.6,36.6,78.0,1.0,1.3,0.2,1.0
64,Philippe Coutinho,Bayern Munich,31,M,23,1414,8,6,0,0,2.5,84.1,0.2,4,7.22,0.9,0.3,0.2,0.0,0.0,0.5,0.1,0,1.4,1.0,0.1,0.8,0.8,34.8,84.1,0.3,2.0,0.2,1.0
