,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
233,Miguel de la Fuente,Deportivo Alaves,24,FW,22,828,1,1,2,0,1.0,66.4,0.6,0,6.19,0.3,0.0,0.9,0.0,0.3,0.6,0.0,0,0.6,0.9,0.2,0.5,0.5,6.9,66.4,0.0,0.1,0.0,0.0
234,Asier Villalibre,Athletic Club,26,FW,19,540,2,0,0,0,1.0,62.2,1.0,0,6.27,0.2,0.1,0.5,0.0,0.4,0.1,0.1,0,0.2,0.7,0.2,0.7,0.7,5.8,62.2,0.0,0.0,0.0,0.43636363636363634
235,Raúl de Tomás,Espanyol,29,FW,34,2928,17,3,5,2,3.1,83.9,1.0,4,7.02,0.4,0.2,1.0,0.0,1.1,0.3,0.1,0,1.5,1.6,0.9,1.8,1.8,21.2,83.9,0.1,1.8,0.0,0.2
236,Loren Morón,Espanyol,30,FW,21,556,1,0,0,0,0.5,58.8,0.9,0,6.2,0.3,0.1,0.5,0.0,0.4,0.6,0.0,0,0.2,0.7,0.3,0.4,0.4,4.0,58.8,0.0,0.0,0.0,0.2
237,Enes Ünal,Getafe,26,FW,37,2812,16,1,8,0,2.3,61.5,3.9,6,6.94,1.0,0.1,2.1,0.0,1.0,1.0,0.1,0,0.7,1.9,0.4,1.5,1.5,17.1,61.5,0.1,0.2,0.0,0.14545454545454545
238,Sergi Guardiola,Rayo Vallecano,32,FW,32,1716,8,2,3,0,1.6,69.0,0.8,1,6.49,0.3,0.1,0.9,0.0,0.5,0.6,0.1,0,0.4,0.9,0.4,1.0,1.0,12.0,69.0,0.1,0.3,0.0,0.2
239,Radamel Falcao,Rayo Vallecano,38,FW,22,832,6,0,1,0,1.5,77.8,1.2,0,6.44,0.1,0.1,0.8,0.0,0.5,0.1,0.0,0,0.1,0.8,0.7,0.5,0.5,7.6,77.8,0.1,0.1,0.0,0.2
240,Maxi Gómez,Valencia,27,FW,29,1961,5,1,5,1,1.5,64.8,2.9,1,6.6,0.2,0.1,1.7,0.0,0.8,0.1,0.0,0,0.2,1.9,0.3,0.7,0.7,13.3,64.8,0.1,0.3,0.0,0.3090909090909091
241,Marcos André,Valencia,27,FW,29,963,1,3,3,0,1.0,68.2,1.4,0,6.41,0.5,0.2,0.8,0.0,0.4,0.4,0.0,0,0.5,0.8,0.1,0.8,0.8,6.1,68.2,0.0,0.2,0.1,0.3090909090909091
242,Roger Martí,Levante,33,FW,29,2124,7,3,8,0,1.7,69.6,1.1,1,6.53,0.8,0.1,2.1,0.0,0.3,0.8,0.0,0,0.5,1.0,0.4,0.8,0.8,15.4,69.6,0.0,0.4,0.0,0.07272727272727272
243,Dani Gómez,Levante,25,FW,28,1060,4,2,1,0,1.1,80.9,0.1,0,6.33,0.3,0.1,0.6,0.0,0.2,0.3,0.0,0,0.6,0.7,0.4,0.9,0.9,6.7,80.9,0.0,0.1,0.0,0.07272727272727272
244,Alejandro Cantero,Levante,23,FW,25,597,0,1,1,0,0.6,68.3,0.1,0,6.12,0.2,0.0,0.5,0.0,0.0,0.3,0.0,0,0.3,0.2,0.0,0.3,0.3,4.8,68.3,0.1,0.2,0.0,0.07272727272727272
245,Youssef En-Nesyri,Sevilla,26,FW,23,1282,5,1,1,0,1.6,66.5,2.0,0,6.58,0.4,0.2,0.5,0.0,0.8,0.3,0.0,0,0.2,0.4,0.8,0.5,0.5,7.9,66.5,0.0,0.3,0.0,0.7090909090909091
246,Rafa Mir,Sevilla,26,FW,34,1804,10,0,6,0,1.8,67.6,1.7,1,6.54,0.1,0.0,0.9,0.0,0.4,0.3,0.1,0,0.4,0.5,0.7,0.5,0.5,10.1,67.6,0.1,0.1,0.0,0.7090909090909091
247,Ante Budimir,Osasuna,32,FW,28,1741,8,2,3,0,1.6,58.0,3.9,2,6.76,0.9,0.1,1.3,0.0,0.6,0.5,0.1,0,0.4,1.1,0.6,1.0,1.0,12.3,58.0,0.1,0.1,0.0,0.2909090909090909
248,Kike García,Osasuna,34,FW,33,1860,5,1,2,0,1.6,67.6,2.3,1,6.47,0.3,0.1,0.7,0.0,0.3,0.6,0.0,0,0.4,1.1,0.3,1.1,1.1,14.8,67.6,0.2,0.5,0.0,0.2909090909090909
249,Fer Niño,Mallorca,23,FW,23,879,2,0,2,0,1.0,67.9,2.0,1,6.39,0.4,0.1,0.8,0.0,0.6,0.4,0.1,0,0.4,0.8,0.1,0.6,0.6,9.2,67.9,0.0,0.0,0.0,0.14545454545454545
250,Ángel Rodríguez,Mallorca,37,FW,29,1551,4,2,4,0,1.0,73.3,0.7,0,6.37,0.5,0.1,1.3,0.0,0.4,0.6,0.0,0,0.4,0.8,0.6,0.7,0.7,8.7,73.3,0.1,0.3,0.0,0.14545454545454545
251,Abdón Prats,Mallorca,31,FW,25,636,3,0,4,0,0.7,67.5,1.2,0,6.27,0.1,0.0,0.3,0.0,0.2,0.2,0.0,0,0.3,0.6,0.1,0.8,0.8,6.2,67.5,0.0,0.2,0.0,0.14545454545454545
252,Guido Carrillo,Elche,32,FW,29,1157,2,0,3,0,0.8,70.2,2.9,0,6.39,0.2,0.0,1.1,0.1,0.9,0.3,0.1,0,0.3,0.9,0.2,0.5,0.5,10.2,70.2,0.0,0.2,0.0,0.2
253,Jorge Molina,Granada,42,FW,35,1958,10,5,2,0,1.3,64.1,2.6,5,6.71,0.1,0.2,0.5,0.0,0.3,0.5,0.1,0,0.2,1.1,0.3,0.7,0.7,14.5,64.1,0.1,0.2,0.1,0.12727272727272726
254,Álvaro Negredo,Cadiz,38,FW,34,2157,7,2,3,0,2.0,60.0,3.4,3,6.74,0.1,0.1,0.5,0.0,0.7,0.1,0.1,0,0.6,1.0,0.3,0.5,0.5,15.4,60.0,0.1,1.0,0.0,0.14545454545454545
255,Karim Benzema,Real Madrid,36,FW,24,2044,19,3,1,0,4.5,87.0,0.6,6,7.53,0.4,0.1,0.4,0.0,0.2,0.4,0.0,0,0.8,0.3,0.9,1.2,1.2,44.0,87.0,0.0,0.6,0.3,0.8412698412698413
256,Robert Lewandowski,Barcelona,35,FW,34,2852,23,7,2,1,4.0,78.1,1.5,7,7.49,0.5,0.1,1.1,0.1,0.4,0.2,0.0,0,0.9,1.4,0.6,1.5,1.5,22.4,78.1,0.2,0.7,0.2,1.0
257,Joselu,Espanyol,34,FW,34,2989,16,2,3,0,2.7,61.0,5.1,5,7.15,0.4,0.2,0.7,0.0,1.2,0.4,0.1,0,0.5,2.1,0.8,1.3,1.3,21.7,61.0,0.2,0.4,0.0,0.19047619047619047
258,Vedat Muriqi,Mallorca,30,FW,35,2953,15,3,6,1,2.2,57.8,5.7,4,7.01,0.3,0.3,1.7,0.0,2.1,0.3,0.2,0,0.3,1.1,0.8,1.3,1.3,23.3,57.8,0.0,0.4,0.0,0.3968253968253968
