,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
239,Renato Sanches,304,Paris Saint-Germain,25,M,6(17),705,0,0.4,28.6,91.6,0.0,1.4,0.0,6.43,2,1,0,0.6,0.2,0,0.6,0.4,0.0,0.3,0.6,0.3,0.4,1.0,0.0,0.2,0.4,0.1,0
245,Samuel Moutoussamy,302,Nantes,26,M,27(8),2403,2,0.5,34.6,86.5,0.1,1.6,0.1,6.42,0,8,0,0.6,0.6,0,0.5,0.4,0.0,0.5,0.7,1.8,0.7,0.9,0.0,0.4,1.4,0.1,0
258,Moussa Sissoko,302,Nantes,33,M,22(8),1923,0,0.6,25.1,81.0,0.2,0.9,0.0,6.38,2,3,0,0.6,0.8,1,0.5,0.5,0.1,0.6,1.0,0.9,0.5,0.9,0.0,0.5,0.2,0.2,0
281,Thomas Mangani,610,AC Ajaccio,36,M,14(12),1329,1,1.0,31.7,73.7,0.9,3.2,0.1,6.32,1,4,1,0.4,0.8,0,0.2,0.5,0.0,0.1,0.3,1.2,0.9,0.9,0.0,0.8,1.1,0.1,0
285,Marcus Coco,302,Nantes,27,M,6(20),629,0,0.4,8.0,75.0,0.3,0.3,0.0,6.32,1,2,0,0.3,0.7,0,0.3,0.4,0.1,0.4,0.7,0.9,0.5,0.7,0.0,0.1,0.5,0.1,0
286,Romain Hamouma,610,AC Ajaccio,36,M,14(5),1091,2,0.7,15.8,81.7,0.6,0.3,0.0,6.31,2,1,2,0.8,0.7,0,0.8,0.8,0.2,0.7,2.0,0.4,0.1,0.9,0.0,0.1,0.2,0.0,0
288,Warren Zaïre-Emery,304,Paris Saint-Germain,17,M,8(18),919,0,0.2,22.7,92.0,0.0,0.2,0.0,6.31,2,1,0,0.3,0.1,0,0.6,0.2,0.1,0.5,0.4,0.7,0.5,0.3,0.1,0.4,0.8,0.0,0
290,Youssouf M'Changama,308,Auxerre,32,M,11(15),1079,0,0.4,17.3,82.5,0.4,0.9,0.1,6.29,0,1,0,0.7,0.5,0,0.4,0.7,0.0,0.3,0.7,0.8,0.6,0.5,0.0,0.2,0.2,0.0,0
293,Jérémie Bela,941,Clermont Foot,30,M,7(12),737,1,0.2,10.2,72.2,0.2,0.1,0.0,6.28,1,0,0,0.6,0.1,0,0.5,0.9,0.0,0.4,1.0,0.3,0.5,0.4,0.0,0.4,0.1,0.1,0
298,Kevin Spadanuda,610,AC Ajaccio,26,M,13(9),1069,1,0.4,11.3,81.5,0.0,0.2,0.0,6.26,0,3,0,0.3,0.2,0,1.0,1.0,0.0,1.0,1.3,1.3,0.5,0.9,0.0,0.2,1.0,0.0,0
301,Mathieu Coutadeur,610,AC Ajaccio,37,M,22(5),1951,0,0.4,43.9,84.6,0.0,2.9,0.1,6.24,0,2,0,0.1,0.3,0,0.2,0.5,0.0,0.3,0.7,0.9,0.7,0.2,0.0,0.8,0.7,0.1,0
302,Riad Nouri,610,AC Ajaccio,38,M,16(17),1692,1,0.8,15.9,74.0,0.8,0.5,0.0,6.24,1,3,0,0.5,0.4,0,0.4,0.5,0.2,0.5,0.9,0.6,0.5,0.5,0.0,0.2,0.5,0.0,0
310,Veljko Birmancevic,246,Toulouse,25,M,2(23),427,0,0.1,6.0,69.8,0.0,0.0,0.0,6.11,0,0,0,0.5,0.1,0,0.2,0.3,0.0,0.1,0.5,0.5,0.3,0.2,0.0,0.0,0.6,0.1,0
