,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
173,Saël Kumbedi,228,Lyon,18,D,14(6),1317,2,0.5,30.9,83.6,0.3,0.9,0.0,6.61,0,8,0,0.5,0.4,0,0.8,1.1,0.2,0.7,0.8,2.4,0.5,1.9,0.3,0.7,0.9,0.4,0
174,Mateusz Wieteska,941,Clermont Foot,26,D,35,3120,1,0.1,45.8,82.8,0.0,2.2,0.0,6.61,0,7,1,0.5,2.2,1,0.3,0.9,0.0,0.2,0.3,1.2,1.6,0.8,0.5,2.6,0.4,0.8,0
175,Thomas Foket,950,Reims,28,D,23(1),1983,1,1.0,41.5,82.9,0.5,1.8,0.0,6.61,0,0,0,0.1,0.5,0,0.4,0.9,0.1,0.8,1.2,1.5,1.4,1.1,0.3,0.9,1.2,0.3,0
176,Juan Bernat,304,Paris Saint-Germain,30,D,18(10),1648,4,0.8,33.7,93.3,0.1,0.4,0.0,6.61,1,1,0,0.3,0.2,0,0.8,0.3,0.0,0.3,0.3,1.1,0.3,0.3,0.1,0.7,0.6,0.1,0
178,Thibault De Smet,950,Reims,25,D,20(2),1762,1,0.5,40.0,79.0,0.5,1.5,0.0,6.6,0,2,0,0.0,1.4,0,0.2,0.4,0.1,0.4,0.9,1.1,0.9,1.1,0.1,1.6,1.2,0.2,0
181,Jackson Porozo,229,Troyes,22,D,17(5),1616,0,0.1,28.2,81.6,0.0,1.1,0.0,6.59,2,3,0,1.0,2.1,1,0.3,0.8,0.0,0.3,0.5,1.5,1.5,1.3,0.2,3.3,0.8,0.8,0
184,Lucas Perrin,148,Strasbourg,24,D,18(8),1763,1,0.3,30.5,82.2,0.1,2.2,0.0,6.59,0,4,0,0.3,1.4,0,0.2,0.7,0.0,0.2,0.2,1.7,1.4,0.9,0.4,1.7,0.9,0.2,0
186,José Fonte,607,Lille,39,D,30(1),2593,0,0.1,63.5,90.3,0.0,3.9,0.0,6.58,1,7,0,0.5,2.0,1,0.1,0.3,0.0,0.1,0.3,0.7,0.8,0.8,0.6,3.5,0.4,0.5,1
187,Yan Valery,614,Angers,24,D,30,2504,0,0.4,33.5,78.2,0.6,1.7,0.0,6.57,0,3,0,0.4,1.2,0,1.1,0.7,0.0,1.0,1.2,1.8,1.1,1.5,0.3,2.6,0.6,0.5,0
189,Issa Kaboré,249,Marseille,22,D,9(13),1022,0,0.6,19.2,81.6,0.5,0.5,0.0,6.57,1,1,0,0.4,0.1,0,1.0,0.9,0.1,0.6,1.5,1.5,0.5,1.1,0.1,0.9,0.5,0.0,0
196,Renaud Ripart,229,Troyes,30,D,15(11),1319,1,0.8,16.7,70.0,0.1,0.2,0.0,6.55,4,4,0,1.5,2.2,0,0.4,1.0,0.2,0.8,1.2,1.5,0.3,1.0,0.0,0.2,1.3,0.1,0
198,Maxime Gonalons,941,Clermont Foot,34,D,19(6),1457,0,0.4,33.1,88.6,0.0,2.3,0.0,6.55,1,3,0,0.2,0.6,1,0.6,0.9,0.0,0.4,0.8,2.1,0.8,1.0,0.0,0.3,1.1,0.0,0
199,Jean-Kévin Duverne,2332,Brest,25,D,27(7),2514,0,0.3,32.9,73.9,0.3,2.5,0.0,6.54,0,2,0,0.1,1.0,0,0.8,0.6,0.1,0.6,1.1,2.1,0.8,1.1,0.1,1.7,0.9,0.1,0
203,Maxime Estève,311,Montpellier,21,D,18(5),1645,0,0.0,32.3,81.7,0.0,1.5,0.0,6.53,0,3,0,0.3,1.3,2,0.2,0.3,0.0,0.2,0.2,1.0,1.5,0.8,0.5,3.7,0.2,0.7,1
204,Timothy Weah,607,Lille,23,D,18(11),1748,2,0.6,29.8,85.1,0.4,0.9,0.0,6.53,0,2,0,1.0,0.4,0,0.7,0.6,0.1,0.3,0.8,0.8,0.8,0.6,0.2,0.5,0.4,0.1,0
205,Mohamed Youssouf,610,AC Ajaccio,35,D,27(3),2457,0,0.5,30.6,73.5,0.6,1.6,0.0,6.53,0,5,1,0.2,1.6,1,0.4,1.2,0.0,0.5,1.0,2.4,2.2,1.3,0.4,2.1,0.8,0.3,1
206,Noah Fadiga,2332,Brest,23,D,16(5),1312,0,0.1,23.9,79.9,0.1,0.7,0.0,6.52,1,2,0,0.5,0.4,1,0.9,0.9,0.0,0.3,1.1,1.4,1.2,1.0,0.2,0.7,0.6,0.3,0
207,Falaye Sacko,311,Montpellier,28,D,29(6),2580,3,0.5,29.2,81.5,0.2,1.2,0.1,6.52,1,3,0,0.2,0.5,0,0.5,0.5,0.1,0.4,0.9,1.3,0.9,0.7,0.2,1.9,0.5,0.4,1
208,Dimitri Liénard,148,Strasbourg,35,D,18(10),1546,0,1.1,27.1,78.5,1.3,2.2,0.0,6.52,0,4,0,0.5,0.7,0,0.4,0.5,0.1,0.4,1.0,1.6,0.6,0.6,0.0,0.8,0.8,0.1,0
