,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
104,José Sá,Wolves,31, GK,37,3286,-,1,3,-,-,63,0.4,5,6.81
105,Nick Pope,Burnley,32, GK,36,3240,-,-,1,-,-,44.5,0.5,5,6.81
106,Jan Bednarek,Southampton,28, D(C),30(1),2633,4,-,10,-,0.6,81.7,2.9,2,6.81
107,Lucas Moura,Tottenham,31," AM(CLR),FW",19(15),1729,2,6,4,-,1,76.5,1.4,3,6.81
108,Pablo Fornals,West Ham,28, M(CLR),32(4),2804,6,3,4,-,1.2,78.1,0.6,2,6.80
109,David Raya,Brentford,28, GK,24,2160,-,-,1,-,-,64.5,0.4,-,6.80
110,Joël Veltman,Brighton,32," D(CR),M(R)",33(1),2881,1,1,6,-,0.4,79.7,1.7,2,6.80
111,Hugo Lloris,Tottenham,37, GK,38,3375,-,-,2,-,-,76.7,0.4,-,6.79
112,Pascal Groß,Brighton,32," D(LR),M(CR),FW",24(5),2043,2,4,1,-,0.8,82.8,0.5,1,6.79
113,Harvey Barnes,Leicester,26, AM(CL),24(8),2107,6,10,2,-,2.1,76.4,0.8,-,6.79
114,Naby Keïta,Liverpool,29, M(C),14(9),1175,3,1,3,-,1.1,86,0.3,-,6.79
115,Raphaël Varane,Man Utd,31, D(C),20(2),1829,1,1,-,-,0.4,87.8,2.5,1,6.78
116,Demarai Gray,Everton,27," AM(CLR),FW",28(6),2352,5,4,3,-,1.9,81.5,0.1,-,6.78
117,Stuart Dallas,Leeds,33," D(LR),M(CLR)",34,2929,1,1,5,-,0.9,78.8,0.9,3,6.78
118,João Pedro,Watford,22," AM(CL),FW",15(13),1639,3,1,1,-,1.7,69.9,2,-,6.78
119,Daniel Podence,Wolves,28," AM(CLR),FW",15(11),1486,2,3,2,-,1.3,74.1,0.1,-,6.78
120,Ben White,Arsenal,26," D(CR),DMC",32,2880,-,-,3,-,0.4,84.6,1.9,1,6.78
121,Douglas Luiz,Aston Villa,25, M(C),31(3),2720,2,3,7,-,0.7,86.8,0.8,1,6.77
122,Ben Davies,Tottenham,31," D(CL),M(L)",28(1),2540,1,1,6,-,0.6,85,2.3,-,6.77
123,Eric Dier,Tottenham,30," D(CR),DMC",35,3027,-,-,1,-,0.3,88.1,1.9,-,6.77
124,Jacob Ramsey,Aston Villa,22, AM(CLR),29(5),2477,6,1,6,-,1,87,0.5,1,6.77
125,Kieran Tierney,Arsenal,26," D(CL),M(L)",22,1919,1,3,-,-,0.7,82.5,0.5,-,6.77
126,Marc Guéhi,Crystal Palace,23, D(C),36,3223,2,1,4,-,0.5,87.4,1.9,-,6.76
127,Pontus Jansson,Brentford,33, D(C),37,3322,3,1,7,-,0.6,80.9,2.8,-,6.76
128,Lukasz Fabianski,West Ham,39, GK,37,3330,-,-,2,-,-,59.2,0.3,1,6.76
