,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
70,Federico Valverde,3,1,0.9,1,0.4,0.1,0.3,0.3
71,Rubén García,3,5,0.8,0.7,1.1,0.2,0.9,0.9
72,José Giménez,-,-,0.7,-,0.8,0.1,-,-
73,Pablo Maffeo,1,4,0.4,1.2,1.7,0.1,0.8,0.8
74,Thibaut Courtois,-,-,-,-,0.1,-,-,-
75,Mario Gaspar,-,2,0.6,0.4,0.4,-,0.2,0.2
76,Óscar Mingueza,2,2,0.4,0.3,0.6,-,0.3,0.3
77,Sandro Ramírez,5,1,1.5,1,2.6,0.6,0.9,0.9
78,Iza Carcelén,-,1,0.3,1.1,1.6,-,0.8,0.8
79,Unai Núñez,1,1,0.5,0.2,0.4,-,0.3,0.3
80,Hugo Mallo,3,1,0.6,0.5,0.9,0.2,0.5,0.5
81,Pau Torres,2,2,0.2,0.8,0.5,0.1,0.2,0.2
82,Dimitrios Siovas,2,-,0.8,0.3,0.3,-,0.1,0.1
83,Claudio Bravo,-,-,-,0.2,-,-,-,-
84,Saúl Ñíguez,2,1,1,0.5,0.5,0.2,0.4,0.4
85,Álex Moreno,-,2,0.5,1.1,1,-,0.5,0.5
86,Pedri,3,3,0.7,0.8,1.1,-,0.9,0.9
87,Brais Méndez,9,-,1.5,0.4,1.8,0.1,1.3,1.3
88,Álvaro Negredo,8,4,1.4,0.8,1.1,0.2,0.6,0.6
89,Sergio Herrera,-,-,-,-,0.3,-,-,-
90,David Ferreiro,2,4,0.7,1.2,1,0.4,1,1
91,Ronald Araujo,2,1,0.5,0.3,0.7,0.1,0.1,0.1
92,Paulo Oliveira,-,1,0.4,0.2,0.3,-,0.1,0.1
93,Alberto Perea,2,3,1,2.3,1.2,-,1.3,1.3
94,Denis Suárez,-,9,0.5,1,1.1,-,0.7,0.7
95,João Félix,7,5,1.3,1,1.5,0.2,1.1,1.1
96,Darwin Machís,5,5,1.5,1.4,1.4,0.3,1.3,1.3
97,Yuri Berchiche,1,3,0.7,0.7,1.3,-,0.6,0.6
98,Rafa Mir,13,1,3.2,0.4,0.5,0.9,0.5,0.5
99,Felipe,-,-,0.4,0.1,0.5,-,-,-
100,Mathías Olivera,-,-,0.6,0.8,0.8,0.1,0.8,0.8
101,Edu Expósito,-,3,1.4,1.3,0.9,-,1.1,1.1
102,José Gayà,1,7,0.7,1,0.9,0.4,0.5,0.5
103,Jaume Domènech,-,-,-,-,-,-,-,-
104,Rubén Duarte,1,1,0.5,0.2,1.3,-,0.3,0.3
105,Yassine Bounou,1,-,-,-,0.1,-,-,-
106,Renan Lodi,1,2,0.5,1,1.2,0.1,0.4,0.4
107,Alfonso Espino,-,3,0.3,0.5,0.7,0.1,0.5,0.5
108,Andoni Gorosabel,-,1,0.3,0.3,0.9,-,0.4,0.4
109,Thierry Correia,1,1,0.3,0.9,1.3,0.1,0.4,0.4
110,Marc Cucurella,3,2,0.7,0.6,1.6,0.2,1.1,1.1
111,Javier Ontiveros,2,1,1.8,1.8,1.6,-,0.7,0.7
112,Diego Carlos,1,-,0.5,0.2,0.6,-,-,-
113,Jorge de Frutos,4,9,0.7,1.2,0.8,0.1,0.7,0.7
114,José Luís Morales,13,3,1.5,0.8,0.5,0.5,1,1
115,Robin Le Normand,-,1,0.5,0.2,0.5,0.1,0.3,0.3
116,Uros Racic,1,1,1.1,0.8,0.8,-,0.5,0.5
117,Marco Asensio,5,2,1.1,0.8,0.8,0.2,0.7,0.7
118,Aïssa Mandi,3,1,0.3,0.1,0.5,0.1,0.1,0.1
119,José Mari Martín,1,-,0.8,0.7,0.8,-,0.6,0.6
120,Djené Dakonam,-,1,0.1,0.4,1.1,-,0.4,0.4
