,Name,AvgP,PSp,Crosses,LonB,ThrB
297,Jordan Ikoko,28.3,73.5,0.7,1,-
298,Mathieu Bodmer,24.2,69.6,0.1,1.2,0.1
299,Florent Balmont,33.3,84.4,0.6,1.7,-
300,Corentin Jean,9.3,79,0.3,0.2,-
301,Aaron Leya Iseka,9.4,79.4,-,0.1,-
302,Wilfried Kanga,4.8,68.6,0.1,0.1,-
303,Rúnar Rúnarsson,29.7,67.1,-,7.9,-
304,Cristian López,5.2,67.7,-,-,-
305,Moussa Sylla,9.2,63.9,-,0.1,-
306,Farid El Melali,7.3,77.1,0.1,0.3,0.1
