,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
43,Diego Rico,-,4,0.4,0.5,0.8,0.1,0.8,0.8
44,Troy Deeney,10,2,1.7,0.4,1.3,0.4,1,1
45,Çaglar Söyüncü,1,1,0.5,0.5,0.6,-,0.1,0.1
46,Bernardo Silva,6,7,1.5,1.2,0.6,0.1,0.6,0.6
47,Pierre-Emerick Aubameyang,22,3,2.6,0.5,0.6,0.6,0.9,0.9
48,João Moutinho,1,6,0.6,0.4,0.7,0.1,0.6,0.6
49,Declan Rice,1,3,0.8,1.3,0.2,0.1,0.6,0.6
50,Nemanja Matic,-,2,0.3,1,0.9,-,0.8,0.8
51,John McGinn,3,3,2,1.9,2.4,-,1.8,1.8
52,Matt Doherty,4,3,1,0.8,0.5,0.1,0.4,0.4
53,Hugo Lloris,-,-,-,-,-,-,-,-
54,Wilfried Zaha,4,3,1.6,4.3,3.2,0.4,3.9,3.9
55,Chris Basham,-,1,0.2,0.6,0.8,0.1,0.2,0.2
56,Jonjo Shelvey,6,2,1.7,0.6,0.2,-,0.4,0.4
57,Lucas Moura,4,4,1.6,2.1,1.8,0.1,2.1,2.1
58,Ben Chilwell,3,3,0.6,0.7,1.1,-,0.8,0.8
59,Nathan Redmond,4,4,1.8,2.5,1,0.2,1.6,1.6
60,Felipe Anderson,1,4,0.9,2.5,1,0.1,1.2,1.2
61,Mateo Kovacic,1,3,0.7,2.5,1.2,-,0.9,0.9
62,John Egan,2,-,0.8,-,0.6,-,-,-
63,Jack O'Connell,-,1,0.4,0.3,0.5,0.1,0.3,0.3
64,Jordan Ayew,9,2,1.6,2,2.8,0.2,2.6,2.6
65,Alexandre Lacazette,10,4,1.7,0.8,1.5,0.4,1.2,1.2
66,Djibril Sidibé,-,4,0.5,0.6,0.8,0.1,0.5,0.5
67,Scott McTominay,4,1,1.1,1.1,2,-,1.1,1.1
68,Phil Bardsley,-,1,0.5,0.2,0.6,-,0.1,0.1
69,Mason Mount,7,5,2.1,1.1,1,0.1,1.4,1.4
70,Kurt Zouma,-,-,0.5,0.3,0.5,-,0.2,0.2
71,Étienne Capoue,-,3,0.6,0.8,1.3,-,0.9,0.9
72,Tammy Abraham,15,3,2.6,0.5,0.7,0.7,1.2,1.2
73,Kyle Walker,1,4,0.5,0.8,0.5,0.1,0.5,0.5
74,Reece James,-,2,0.8,1.3,0.9,-,0.9,0.9
75,Jonny Evans,1,1,0.6,0.2,0.7,0.1,0.1,0.1
76,N'Golo Kanté,3,-,0.8,1.1,0.5,-,1.3,1.3
77,Gerard Deulofeu,4,5,2.3,2.2,0.8,0.6,1.9,1.9
78,Philip Billing,1,1,1,0.6,0.7,0.1,0.8,0.8
79,Dan Burn,-,-,0.4,0.6,0.4,0.1,0.7,0.7
80,Lewis Dunk,3,3,0.9,0.1,0.5,-,0.2,0.2
81,Frédéric Guilbert,-,2,0.3,0.9,0.8,0.1,0.6,0.6
82,Oliver McBurnie,6,-,1.4,0.6,0.8,0.1,0.9,0.9
83,Fabinho,2,3,0.4,0.3,0.7,-,0.3,0.3
84,Romain Saïss,2,1,0.7,0.2,0.7,0.1,0.2,0.2
85,Charlie Taylor,-,1,-,0.8,1.2,0.1,0.5,0.5
86,Bernd Leno,-,-,-,-,0.1,-,-,-
87,Youri Tielemans,3,6,1.5,0.8,1.3,-,0.7,0.7
88,Ben Mee,1,1,0.5,0.2,0.7,0.1,0.1,0.1
89,Fred,-,-,1.4,1.4,1.2,-,0.9,0.9
90,Dele Alli,8,4,1.7,1.2,1.3,0.2,1.6,1.6
91,Dominic Calvert-Lewin,13,1,2.4,0.4,1.2,0.4,0.6,0.6
92,John Fleck,5,2,1,1.5,0.7,-,0.6,0.6
93,Phil Foden,5,2,1.5,1.1,0.6,-,0.7,0.7
94,Matt Targett,1,2,0.3,0.3,0.6,-,0.5,0.5
95,Fernandinho,-,1,0.6,0.4,0.6,-,0.2,0.2
96,Luke Shaw,-,-,0.5,0.9,0.4,0.2,0.1,0.1
97,Jorginho,4,2,0.4,0.4,1,-,0.7,0.7
98,Ross Barkley,1,4,1.9,1.3,0.7,-,1.6,1.6
99,Dani Ceballos,-,2,0.5,1.1,1.5,-,1.3,1.3
