,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
173,Saël Kumbedi,-,2,0.5,0.8,1.1,0.2,0.7,0.7
174,Mateusz Wieteska,-,1,0.5,0.3,0.9,-,0.2,0.2
175,Thomas Foket,-,1,0.1,0.4,0.9,0.1,0.8,0.8
176,Juan Bernat,1,4,0.3,0.8,0.3,-,0.3,0.3
177,Gauthier Gallon,-,-,-,-,0.2,-,-,-
178,Thibault De Smet,-,1,-,0.2,0.4,0.1,0.4,0.4
179,Kevin Gameiro,10,-,1.4,0.6,0.4,0.1,0.8,0.8
180,Yvon Mvogo,-,-,-,-,0.1,-,-,-
181,Jackson Porozo,2,-,1,0.3,0.8,-,0.3,0.3
182,Habib Diarra,3,2,0.8,0.9,0.8,-,0.7,0.7
183,Birama Touré,2,-,0.7,0.3,0.6,-,0.4,0.4
184,Lucas Perrin,-,1,0.3,0.2,0.7,-,0.2,0.2
185,Hugo Ekitike,3,4,1.4,0.6,0.5,0.3,0.7,0.7
186,José Fonte,1,-,0.5,0.1,0.3,-,0.1,0.1
187,Yan Valery,-,-,0.4,1.1,0.7,-,1,1
188,Elbasan Rashani,3,3,1.1,0.7,0.9,0.1,0.8,0.8
189,Issa Kaboré,1,-,0.4,1,0.9,0.1,0.6,0.6
190,Ignatius Ganago,5,3,1.2,0.4,1.1,0.3,0.7,0.7
191,Mounaïm El Idrissy,6,-,1.6,0.3,2.5,0.7,1.1,1.1
192,Alexis Claude-Maurice,5,3,0.7,0.6,0.8,-,0.7,0.7
193,Mathias Autret,2,2,1,0.4,0.2,0.1,0.2,0.2
194,Muhammed Cham,7,4,1.4,0.8,1.1,-,1.5,1.5
195,Jordan Ferri,1,2,0.4,0.6,1.8,-,1.3,1.3
196,Renaud Ripart,4,1,1.5,0.4,1,0.2,0.8,0.8
197,Moses Simon,5,4,1,1,0.9,0.1,1.1,1.1
198,Maxime Gonalons,1,-,0.2,0.6,0.9,-,0.4,0.4
199,Jean-Kévin Duverne,-,-,0.1,0.8,0.6,0.1,0.6,0.6
200,Ross Barkley,4,2,1.4,0.4,0.6,-,0.9,0.9
201,Stephy Mavididi,4,2,1.4,1.2,0.7,0.1,1.2,1.2
202,David Pereira da Costa,1,3,0.8,0.9,0.5,-,0.9,0.9
203,Maxime Esteve,-,-,0.3,0.2,0.3,-,0.2,0.2
204,Timothy Weah,-,2,1,0.7,0.6,0.1,0.3,0.3
205,Mohamed Youssouf,-,-,0.2,0.4,1.2,-,0.5,0.5
206,Noah Fadiga,1,-,0.5,0.9,0.9,-,0.3,0.3
207,Falaye Sacko,1,3,0.2,0.5,0.5,0.1,0.4,0.4
208,Dimitri Liénard,-,-,0.5,0.4,0.5,0.1,0.4,0.4
209,Florent Mollet,1,2,1.2,0.5,1.1,0.2,0.7,0.7
210,Pedro Chirivella,-,1,0.6,0.3,0.7,-,0.2,0.2
211,Akim Zedadka,-,-,0.5,0.5,1.4,-,0.9,0.9
212,Rayan Raveloson,2,1,0.9,0.2,1,-,0.5,0.5
213,Kamory Doumbia,2,2,1,0.7,0.3,-,0.8,0.8
214,Haris Belkebla,2,-,0.3,0.3,1.3,-,0.7,0.7
215,Evann Guessand,3,2,0.7,1.2,0.7,0.2,1,1
216,Brecht Dejaegere,4,1,0.8,0.6,1.2,-,0.6,0.6
217,Jean Onana,-,-,0.4,0.3,0.5,0.1,0.4,0.4
218,Yohann Magnin,-,-,0.4,0.2,1.3,0.1,0.3,0.3
219,Johann Lepenant,1,2,0.6,0.7,0.8,-,0.9,0.9
220,Mickaël Barreto,1,1,1,1.2,0.4,-,1,1
221,Vincent Marchetti,-,2,1.2,1.5,1.2,-,1.3,1.3
222,Lesley Ugochukwu,-,1,0.2,0.5,0.5,-,0.4,0.4
223,Théo Le Bris,2,2,0.4,0.6,0.1,-,0.4,0.4
224,Sanjin Prcic,1,1,1,0.5,0.7,-,0.2,0.2
225,Massadio Haïdara,-,1,0.4,0.2,0.7,0.1,0.1,0.1
226,Gaetan Perrin,3,1,0.7,1.6,0.6,0.1,1.1,1.1
227,Abdu Conté,1,2,0.2,0.1,0.6,0.2,0.3,0.3
228,Ibrahima Koné,7,1,0.8,0.4,0.6,0.4,0.7,0.7
229,Carlos Soler,3,2,0.4,0.2,0.5,-,0.5,0.5
230,Hugo Magnetti,1,2,0.5,0.7,0.8,-,0.5,0.5
231,Stéphane Diarra,2,-,0.7,0.9,0.8,0.1,0.5,0.5
232,Mathias Pereira Lage,2,1,0.9,0.4,1.1,-,0.8,0.8
233,Jim Allevinah,1,1,0.8,0.9,1.5,-,1.1,1.1
234,Wesley Saïd,5,-,1.3,0.8,-,-,0.3,0.3
235,Léo Leroy,-,-,0.7,0.4,0.7,-,0.5,0.5
236,Yasser Larouci,1,1,0.3,1.3,1,0.1,1.2,1.2
237,Colin Dagba,-,-,0.2,0.5,0.3,-,0.5,0.5
238,Gerzino Nyamsi,1,1,0.7,0.5,0.2,-,0.1,0.1
239,Renato Sanches,2,-,0.6,0.6,0.4,-,0.3,0.3
240,Jean-Eudes Aholou,3,1,0.7,0.5,0.8,-,0.5,0.5
241,Yoann Salmier,1,-,0.4,0.2,0.9,-,0.2,0.2
242,Wilson Odobert,4,2,0.8,1,0.5,0.1,0.8,0.8
243,Dion Lopy,-,1,0.6,0.6,0.9,-,0.6,0.6
244,Miha Blazic,2,-,0.3,-,0.7,-,-,-
