,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
111,Denzel Dumfries,Inter,28," D(R),M(R)",25(9),2223,1,4,4,-,1,79.1,1.2,-,6.69
112,Arkadiusz Milik,Juventus,30," AM(C),FW",17(10),1583,7,1,1,1,1.6,78.6,1.3,1,6.69
113,Henrikh Mkhitaryan,Inter,35," M(CLR),FW",24(7),1997,3,2,4,-,1.1,88.4,0.3,1,6.69
114,Alessandro Bastoni,Inter,25, D(C),26(3),2168,-,2,3,-,0.4,85.4,1.3,-,6.68
115,Adam Marusic,Lazio,31," D(CLR),M(LR)",31(2),2767,-,2,8,1,0.5,87.6,0.9,-,6.68
116,Antonio Candreva,Salernitana,37, M(CLR),32(3),2741,7,4,1,1,1.3,79.7,0.1,2,6.68
117,Ola Aina,Torino,27," D(CLR),M(LR)",9(10),874,1,1,5,-,0.4,76.5,0.6,2,6.68
118,Perr Schuurs,Torino,24, D(C),28(2),2334,-,2,5,-,0.5,88.2,2,-,6.67
119,Bram Nuytinck,Sampdoria,34, D(C),19,1504,-,1,4,-,0.2,85.4,1.5,-,6.67
120,Rasmus Højlund,Atalanta,21, FW,20(12),1836,9,2,1,-,1.7,74.3,1,3,6.67
121,Gianluca Mancini,Roma,28," D(C),DMC",33(2),2867,1,2,7,-,0.6,82.1,1.7,-,6.67
122,Darko Lazovic,Verona,33, M(CLR),27(3),2254,4,5,-,-,1.4,68.5,0.2,2,6.67
123,Sandi Lovric,Udinese,26, AM(C),28(9),2351,5,6,4,-,1.9,83.9,0.2,1,6.66
124,Mathías Olivera,Napoli,26," D(L),M(L)",17(13),1637,2,2,2,-,0.3,87.3,1.1,3,6.66
125,Beto,Udinese,26, FW,23(10),2132,10,1,2,-,1.8,65.7,2.2,3,6.66
126,Johan Vásquez,Cremonese,25, D(CL),19(6),1809,1,-,7,-,0.5,79.1,1.4,-,6.66
127,Walace,Udinese,29, DMC,37,3200,-,1,6,-,0.9,84.7,0.6,-,6.66
128,Nehuén Pérez,Udinese,23, D(C),33(1),2831,2,-,7,1,0.5,86.4,1.1,1,6.65
129,Simone Bastoni,Spezia,27," D(L),DMC,M(L)",15(4),1198,2,4,7,-,1.2,69.3,0.6,-,6.65
